"",BBFN1.M.DE.N.1.L.SA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:59,
1994-07,0.336,
1994-08,0.348,
1994-09,0.330,
1994-10,0.335,
1994-11,0.588,
1994-12,0.680,
1995-01,0.666,
1995-02,0.687,
1995-03,0.723,
1995-04,0.767,
1995-05,0.523,
1995-06,0.778,
1995-07,0.558,
1995-08,0.570,
1995-09,0.536,
1995-10,0.409,
1995-11,0.424,
1995-12,0.428,
1996-01,0.424,
1996-02,0.303,
1996-03,0.315,
1996-04,0.332,
1996-05,0.351,
1996-06,0.347,
1996-07,0.342,
1996-08,0.347,
1996-09,0.355,
1996-10,0.353,
1996-11,0.338,
1996-12,0.350,
1997-01,0.363,
1997-02,0.378,
1997-03,0.386,
1997-04,0.379,
1997-05,0.391,
1997-06,0.407,
1997-07,0.419,
1997-08,0.419,
1997-09,0.421,
1997-10,0.420,
1997-11,0.339,
1997-12,0.335,
1998-01,0.354,
1998-02,0.344,
1998-03,0.331,
1998-04,0.320,
1998-05,0.323,
1998-06,0.201,
1998-07,0.187,
1998-08,0.188,
1998-09,0.203,
1998-10,0.210,
1998-11,0.203,
1998-12,0.178,
1999-01,0.182,
1999-02,0.187,
1999-03,0.372,
1999-04,0.373,
1999-05,0.396,
1999-06,0.386,
1999-07,0.391,
1999-08,0.443,
1999-09,0.395,
1999-10,0.398,
1999-11,0.420,
1999-12,0.415,
2000-01,0.422,
2000-02,0.432,
2000-03,0.443,
2000-04,0.451,
2000-05,0.439,
2000-06,0.476,
2000-07,0.471,
2000-08,0.490,
2000-09,0.459,
2000-10,0.460,
2000-11,0.468,
2000-12,0.455,
2001-01,0.459,
2001-02,0.489,
2001-03,0.449,
2001-04,0.453,
2001-05,0.398,
2001-06,0.409,
2001-07,0.393,
2001-08,0.414,
2001-09,0.427,
2001-10,0.419,
2001-11,0.434,
2001-12,0.412,
2002-01,0.429,
2002-02,0.433,
2002-03,0.424,
2002-04,0.407,
2002-05,0.441,
2002-06,0.442,
2002-07,0.433,
2002-08,0.413,
2002-09,0.460,
2002-10,0.458,
2002-11,0.477,
2002-12,0.465,
2003-01,0.595,
2003-02,0.559,
2003-03,0.558,
2003-04,0.572,
2003-05,0.571,
2003-06,0.606,
2003-07,0.609,
2003-08,0.633,
2003-09,0.672,
2003-10,0.698,
2003-11,0.698,
2003-12,0.736,
2004-01,0.750,
2004-02,0.685,
2004-03,0.734,
2004-04,0.765,
2004-05,0.753,
2004-06,0.776,
2004-07,0.760,
2004-08,0.792,
2004-09,0.835,
2004-10,0.868,
2004-11,0.871,
2004-12,0.901,
2005-01,0.898,
2005-02,0.908,
2005-03,0.996,
2005-04,1.043,
2005-05,1.106,
2005-06,0.997,
2005-07,0.994,
2005-08,1.002,
2005-09,1.016,
2005-10,1.074,
2005-11,1.129,
2005-12,1.027,
2006-01,1.155,
2006-02,1.200,
2006-03,1.235,
2006-04,1.309,
2006-05,1.365,
2006-06,1.458,
2006-07,1.520,
2006-08,1.625,
2006-09,1.590,
2006-10,1.640,
2006-11,1.592,
2006-12,1.617,
2007-01,1.644,
2007-02,1.695,
2007-03,1.685,
2007-04,1.845,
2007-05,1.902,
2007-06,2.058,
2007-07,2.143,
2007-08,2.213,
2007-09,2.276,
2007-10,2.350,
2007-11,2.409,
2007-12,2.390,
2008-01,2.464,
2008-02,2.489,
2008-03,2.543,
2008-04,2.579,
2008-05,2.602,
2008-06,2.625,
2008-07,2.683,
2008-08,2.696,
2008-09,2.651,
2008-10,2.635,
2008-11,2.680,
2008-12,1.871,
2009-01,2.805,
2009-02,2.830,
2009-03,2.838,
2009-04,2.853,
2009-05,2.353,
2009-06,2.030,
2009-07,1.956,
2009-08,1.939,
2009-09,1.402,
2009-10,1.397,
2009-11,1.317,
2009-12,1.470,
2010-01,1.495,
2010-02,1.539,
2010-03,1.553,
2010-04,1.568,
2010-05,1.452,
2010-06,1.440,
2010-07,1.440,
2010-08,1.420,
2010-09,1.459,
2010-10,1.499,
2010-11,1.524,
2010-12,1.626,
2011-01,1.646,
2011-02,1.754,
2011-03,1.870,
2011-04,1.820,
2011-05,1.935,
2011-06,1.928,
2011-07,1.909,
2011-08,1.915,
2011-09,1.916,
2011-10,1.952,
2011-11,1.860,
2011-12,1.908,
2012-01,1.972,
2012-02,1.921,
2012-03,1.920,
2012-04,1.927,
2012-05,1.893,
2012-06,1.797,
2012-07,1.767,
2012-08,1.769,
2012-09,1.880,
2012-10,1.910,
2012-11,1.878,
2012-12,1.857,
2013-01,1.898,
2013-02,1.913,
2013-03,2.107,
2013-04,2.002,
2013-05,1.921,
2013-06,1.935,
2013-07,1.474,
2013-08,1.331,
2013-09,1.835,
2013-10,1.732,
2013-11,1.687,
2013-12,1.438,
2014-01,1.338,
2014-02,1.328,
2014-03,1.368,
2014-04,1.411,
2014-05,1.412,
2014-06,1.403,
2014-07,1.558,
2014-08,1.584,
2014-09,1.610,
2014-10,1.614,
2014-11,1.621,
2014-12,1.728,
