"",BBK01.OEBM04L,BBK01.OEBM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:37,
2002-01,3.605,
2002-04,4.124,
2002-07,4.245,
2002-10,3.956,
2003-01,4.538,
2003-04,5.137,
2003-07,3.427,
2003-10,3.274,
2004-01,6.235,
2004-04,6.534,
2004-07,4.730,
2004-10,3.703,
2005-01,3.959,
2005-04,5.698,
2005-07,7.641,
2005-10,4.735,
2006-01,6.029,
2006-04,7.238,
2006-07,6.470,
2006-10,5.215,
2007-01,7.468,
2007-04,11.826,
2007-07,9.394,
2007-10,10.838,
2008-01,9.886,
2008-04,12.254,
2008-07,13.141,
2008-10,8.991,
2009-01,8.650,
2009-04,13.923,
2009-07,6.624,
2009-10,6.727,
2010-01,5.927,
2010-04,6.838,
2010-07,6.084,
2010-10,6.584,
2011-01,7.251,
2011-04,7.925,
2011-07,8.238,
2011-10,9.391,
2012-01,9.017,
2012-04,11.045,
2012-07,9.290,
2012-10,12.138,
2013-01,10.331,
2013-04,9.896,
2013-07,8.316,
2013-10,11.428,
2014-01,10.953,
2014-04,12.766,
2014-07,13.734,
