"",BBK01.TYI300,BBK01.TYI300_FLAGS
"",Currency in circulation / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:45,
1980-01,0,
1980-02,913,
1980-03,-157,
1980-04,240,
1980-05,208,
1980-06,102,
1980-07,745,
1980-08,-53,
1980-09,-544,
1980-10,521,
1980-11,1449,
1980-12,-42,
1981-01,-1224,
1981-02,6,
1981-03,-793,
1981-04,874,
1981-05,-135,
1981-06,-24,
1981-07,1728,
1981-08,-1369,
1981-09,-667,
1981-10,147,
1981-11,1116,
1981-12,456,
1982-01,-1332,
1982-02,-46,
1982-03,21,
1982-04,1072,
1982-05,179,
1982-06,-61,
1982-07,1431,
1982-08,-996,
1982-09,156,
1982-10,260,
1982-11,1079,
1982-12,512,
1983-01,-940,
1983-02,111,
1983-03,1930,
1983-04,-160,
1983-05,-167,
1983-06,668,
1983-07,1395,
1983-08,-780,
1983-09,711,
1983-10,-825,
1983-11,1245,
1983-12,794,
1984-01,-1648,
1984-02,-33,
1984-03,758,
1984-04,359,
1984-05,-66,
1984-06,1082,
1984-07,171,
1984-08,439,
1984-09,-583,
1984-10,-570,
1984-11,2455,
1984-12,-638,
1985-01,-1365,
1985-02,122,
1985-03,655,
1985-04,-225,
1985-05,720,
1985-06,71,
1985-07,322,
1985-08,418,
1985-09,-596,
1985-10,325,
1985-11,1844,
1985-12,-211,
1986-01,-666,
1986-02,140,
1986-03,684,
1986-04,187,
1986-05,480,
1986-06,-42,
1986-07,1397,
1986-08,97,
1986-09,-653,
1986-10,853,
1986-11,1670,
1986-12,89,
1987-01,-808,
1987-02,362,
1987-03,41,
1987-04,1635,
1987-05,198,
1987-06,243,
1987-07,2116,
1987-08,-911,
1987-09,-136,
1987-10,992,
1987-11,1530,
1987-12,839,
1988-01,-776,
1988-02,263,
1988-03,2118,
1988-04,-209,
1988-05,59,
1988-06,1119,
1988-07,1436,
1988-08,-637,
1988-09,1285,
1988-10,-197,
1988-11,1751,
1988-12,3249,
1989-01,-1831,
1989-02,183,
1989-03,1291,
1989-04,209,
1989-05,-1131,
1989-06,1448,
1989-07,-105,
1989-08,-587,
1989-09,215,
1989-10,-1026,
1989-11,2432,
1989-12,1623,
1990-01,-3060,
1990-02,86,
1990-03,621,
1990-04,-413,
1990-05,-311,
1990-06,755,
1990-07,4601,
1990-08,612,
1990-09,-383,
1990-10,-528,
1990-11,3486,
1990-12,248,
1991-01,-480,
1991-02,231,
1991-03,1018,
1991-04,-584,
1991-05,1069,
1991-06,195,
1991-07,729,
1991-08,1117,
1991-09,-56,
1991-10,930,
1991-11,2557,
1991-12,31,
1992-01,-2013,
1992-02,267,
1992-03,-488,
1992-04,2290,
1992-05,193,
1992-06,151,
1992-07,2547,
1992-08,-56,
1992-09,934,
1992-10,1788,
1992-11,3561,
1992-12,5513,
1993-01,-4086,
1993-02,-411,
1993-03,48,
1993-04,1168,
1993-05,630,
1993-06,-130,
1993-07,2111,
1993-08,-806,
1993-09,901,
1993-10,1129,
1993-11,2389,
1993-12,2704,
1994-01,-2041,
1994-02,89,
1994-03,3333,
1994-04,-431,
1994-05,-115,
1994-06,519,
1994-07,619,
1994-08,-613,
1994-09,1898,
1994-10,-577,
1994-11,1582,
1994-12,2854,
1995-01,-3041,
1995-02,-330,
1995-03,1291,
1995-04,428,
1995-05,-375,
1995-06,592,
1995-07,45,
1995-08,601,
1995-09,1190,
1995-10,-442,
1995-11,2532,
1995-12,3409,
1996-01,-3469,
1996-02,691,
1996-03,1613,
1996-04,452,
1996-05,1297,
1996-06,-127,
1996-07,340,
1996-08,494,
1996-09,74,
1996-10,570,
1996-11,1668,
1996-12,1165,
1997-01,-1939,
1997-02,585,
1997-03,1068,
1997-04,-337,
1997-05,263,
1997-06,-339,
1997-07,483,
1997-08,-647,
1997-09,-890,
1997-10,256,
1997-11,896,
1997-12,638,
1998-01,-2428,
1998-02,736,
1998-03,-494,
1998-04,954,
1998-05,-312,
1998-06,-1104,
1998-07,1191,
1998-08,-1290,
1998-09,-1666,
1998-10,351,
1998-11,1075,
1998-12,717,
1999-01,-2540,
1999-02,300,
1999-03,2354,
1999-04,395,
1999-05,-107,
1999-06,97,
1999-07,1569,
1999-08,-1016,
1999-09,264,
1999-10,194,
1999-11,1206,
1999-12,4851,
2000-01,-4974,
2000-02,-719,
2000-03,923,
2000-04,403,
2000-05,-51,
2000-06,83,
2000-07,-158,
2000-08,-1001,
2000-09,324,
2000-10,-1122,
2000-11,-17,
2000-12,1103,
2001-01,-5248,
2001-02,-418,
2001-03,37,
2001-04,-423,
2001-05,-1907,
2001-06,-1680,
2001-07,-2512,
2001-08,-3292,
2001-09,-4610,
2001-10,-5950,
2001-11,-7483,
2001-12,-24443,
2002-01,-4144,
2002-02,4491,
2002-03,2581,
2002-04,3109,
2002-05,2463,
2002-06,3300,
2002-07,3676,
2002-08,895,
2002-09,1587,
2002-10,1466,
2002-11,2504,
2002-12,4336,
2003-01,-723,
2003-02,1675,
2003-03,2472,
2003-04,2832,
2003-05,1338,
2003-06,2797,
2003-07,3383,
2003-08,-87,
2003-09,898,
2003-10,1271,
2003-11,2446,
2003-12,4545,
2004-01,-4972,
2004-02,896,
2004-03,2283,
2004-04,2658,
2004-05,2262,
2004-06,2254,
2004-07,3589,
2004-08,-763,
2004-09,1323,
2004-10,1039,
2004-11,2078,
2004-12,4792,
2005-01,-2036,
2005-02,1048,
2005-03,2463,
2005-04,2335,
2005-05,1029,
2005-06,3390,
2005-07,2203,
2005-08,-1164,
2005-09,1023,
2005-10,1021,
2005-11,2084,
2005-12,4180,
2006-01,-2886,
2006-02,509,
2006-03,2414,
2006-04,2030,
2006-05,1223,
2006-06,2719,
2006-07,2621,
2006-08,-992,
2006-09,442,
2006-10,1344,
2006-11,1809,
2006-12,5372,
2007-01,-4324,
2007-02,671,
2007-03,2460,
2007-04,2245,
2007-05,-6,
2007-06,2602,
2007-07,2264,
2007-08,-908,
2007-09,-477,
2007-10,1167,
2007-11,1521,
2007-12,4687,
2008-01,-4067,
2008-02,1519,
2008-03,1357,
2008-04,2800,
2008-05,435,
2008-06,2226,
2008-07,1952,
2008-08,-962,
2008-09,494,
2008-10,10583,
2008-11,1257,
2008-12,5645,
2009-01,-18199,
2009-02,674,
2009-03,1297,
2009-04,1632,
2009-05,113,
2009-06,1502,
2009-07,3336,
2009-08,-1364,
2009-09,71,
2009-10,763,
2009-11,1501,
2009-12,4264,
2010-01,-2915,
2010-02,630,
2010-03,2918,
2010-04,618,
2010-05,1189,
2010-06,2261,
2010-07,1657,
2010-08,-1339,
2010-09,-386,
2010-10,31,
2010-11,1101,
2010-12,3814,
2011-01,-2797,
2011-02,-177,
2011-03,615,
2011-04,1526,
2011-05,1394,
2011-06,2549,
2011-07,2014,
2011-08,-988,
2011-09,1294,
2011-10,1761,
2011-11,1514,
2011-12,3533,
2012-01,-3053,
2012-02,-132,
2012-03,-157,
2012-04,985,
2012-05,2057,
2012-06,2838,
2012-07,1677,
2012-08,-939,
2012-09,-1238,
2012-10,-325,
2012-11,-139,
2012-12,2039,
2013-01,-3565,
2013-02,-562,
2013-03,2533,
2013-04,2473,
2013-05,744,
2013-06,1716,
2013-07,1441,
2013-08,-359,
2013-09,214,
2013-10,597,
2013-11,1374,
2013-12,3695,
2014-01,-13034,
2014-02,179,
2014-03,1914,
2014-04,1426,
2014-05,1265,
2014-06,1944,
2014-07,2391,
2014-08,-123,
2014-09,266,
2014-10,795,
2014-11,1193,
2014-12,4967,
2015-01,-807,
