"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.EE.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.EE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Estonia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:56,
2009-09,12,
2009-10,2,
2009-11,1,
2009-12,1,
2010-01,2,
2010-02,2,
2010-03,3,
2010-04,3,
2010-05,3,
2010-06,3,
2010-07,2,
2010-08,3,
2010-09,12,
2010-10,12,
2010-11,11,
2010-12,12,
2011-01,12,
2011-02,12,
2011-03,11,
2011-04,11,
2011-05,11,
2011-06,11,
2011-07,28,
2011-08,27,
2011-09,25,
2011-10,31,
2011-11,30,
2011-12,30,
2012-01,31,
2012-02,31,
2012-03,47,
2012-04,63,
2012-05,64,
2012-06,65,
2012-07,66,
2012-08,70,
2012-09,73,
2012-10,68,
2012-11,66,
2012-12,67,
2013-01,67,
2013-02,67,
2013-03,68,
2013-04,69,
2013-05,69,
2013-06,68,
2013-07,68,
2013-08,69,
2013-09,70,
2013-10,70,
2013-11,71,
2013-12,70,
2014-01,92,
2014-02,90,
2014-03,90,
2014-04,89,
2014-05,88,
2014-06,84,
2014-07,85,
2014-08,87,
2014-09,87,
2014-10,84,
2014-11,64,
