"",BBK01.OELB14P,BBK01.OELB14P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:48,
2002-01,0.196,
2002-04,0.200,
2002-07,0.194,
2002-10,0.189,
2003-01,0.181,
2003-04,0.178,
2003-07,0.173,
2003-10,0.172,
2004-01,0.159,
2004-04,0.158,
2004-07,0.154,
2004-10,0.153,
2005-01,0.149,
2005-04,0.145,
2005-07,0.145,
2005-10,0.144,
2006-01,0.139,
2006-04,0.141,
2006-07,0.139,
2006-10,0.136,
2007-01,0.129,
2007-04,0.130,
2007-07,0.123,
2007-10,0.131,
2008-01,0.126,
2008-04,0.128,
2008-07,0.129,
2008-10,0.130,
2009-01,0.128,
2009-04,0.125,
2009-07,0.122,
2009-10,0.124,
2010-01,0.122,
2010-04,0.130,
2010-07,0.123,
2010-10,0.125,
2011-01,0.122,
2011-04,0.122,
2011-07,0.117,
2011-10,0.116,
2012-01,0.116,
2012-04,0.124,
2012-07,0.119,
2012-10,0.123,
2013-01,0.118,
2013-04,0.117,
2013-07,0.106,
2013-10,0.106,
2014-01,0.103,
2014-04,0.105,
2014-07,0.101,
