"",BBK01.OEAE30S,BBK01.OEAE30S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:59,
2002-01,0.030,
2002-04,0.033,
2002-07,0.039,
2002-10,0.041,
2003-01,0.043,
2003-04,0.041,
2003-07,0.036,
2003-10,0.039,
2004-01,0.033,
2004-04,0.037,
2004-07,0.038,
2004-10,0.033,
2005-01,0.031,
2005-04,0.036,
2005-07,0.037,
2005-10,0.033,
2006-01,0.027,
2006-04,0.033,
2006-07,0.048,
2006-10,0.047,
2007-01,0.043,
2007-04,0.041,
2007-07,0.042,
2007-10,0.040,
2008-01,0.041,
2008-04,0.040,
2008-07,0.045,
2008-10,0.048,
2009-01,0.061,
2009-04,0.061,
2009-07,0.062,
2009-10,0.059,
2010-01,0.055,
2010-04,0.054,
2010-07,0.055,
2010-10,0.054,
2011-01,0.056,
2011-04,0.055,
2011-07,0.055,
2011-10,0.061,
2012-01,0.055,
2012-04,0.062,
2012-07,0.086,
2012-10,0.092,
2013-01,0.090,
2013-04,0.097,
2013-07,0.151,
2013-10,0.105,
2014-01,0.095,
2014-04,0.115,
2014-07,0.151,
