"",BBK01.OEAC06J,BBK01.OEAC06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:05,
2002-01,0.094,
2002-04,0.092,
2002-07,0.204,
2002-10,0.275,
2003-01,0.266,
2003-04,0.183,
2003-07,0.181,
2003-10,0.178,
2004-01,0.175,
2004-04,0.174,
2004-07,0.168,
2004-10,0.157,
2005-01,0.214,
2005-04,0.216,
2005-07,0.212,
2005-10,0.209,
2006-01,0.217,
2006-04,0.219,
2006-07,0.218,
2006-10,0.216,
2007-01,0.222,
2007-04,0.225,
2007-07,0.239,
2007-10,0.237,
2008-01,0.238,
2008-04,0.244,
2008-07,0.246,
2008-10,0.245,
2009-01,0.235,
2009-04,0.234,
2009-07,0.198,
2009-10,0.197,
2010-01,-0.562,
2010-04,0.210,
2010-07,0.235,
2010-10,0.221,
2011-01,0.219,
2011-04,0.152,
2011-07,0.221,
2011-10,0.227,
2012-01,0.225,
2012-04,0.231,
2012-07,0.235,
2012-10,0.241,
2013-01,0.247,
2013-04,0.247,
2013-07,0.255,
2013-10,0.264,
2014-01,0.266,
2014-04,0.264,
2014-07,0.269,
