"",BBK01.OELK06Q,BBK01.OELK06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:46,
2002-01,0.048,
2002-04,0.050,
2002-07,0.048,
2002-10,0.046,
2003-01,0.047,
2003-04,0.047,
2003-07,0.046,
2003-10,0.048,
2004-01,0.046,
2004-04,0.045,
2004-07,0.045,
2004-10,0.044,
2005-01,0.043,
2005-04,0.040,
2005-07,0.038,
2005-10,0.037,
2006-01,0.041,
2006-04,0.043,
2006-07,0.046,
2006-10,0.047,
2007-01,0.050,
2007-04,0.051,
2007-07,0.054,
2007-10,0.059,
2008-01,0.060,
2008-04,0.062,
2008-07,0.061,
2008-10,0.066,
2009-01,0.063,
2009-04,0.058,
2009-07,0.053,
2009-10,0.044,
2010-01,0.040,
2010-04,0.038,
2010-07,0.038,
2010-10,0.039,
2011-01,0.042,
2011-04,0.043,
2011-07,0.043,
2011-10,0.046,
2012-01,0.039,
2012-04,0.037,
2012-07,0.036,
2012-10,0.033,
2013-01,0.029,
2013-04,0.027,
2013-07,0.025,
2013-10,0.023,
2014-01,0.021,
2014-04,0.023,
2014-07,0.021,
