"",BBK01.OEAC21H,BBK01.OEAC21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:53,
2002-01,0.882,
2002-04,0.922,
2002-07,0.976,
2002-10,0.861,
2003-01,0.888,
2003-04,0.942,
2003-07,0.931,
2003-10,0.814,
2004-01,0.795,
2004-04,0.839,
2004-07,0.880,
2004-10,0.730,
2005-01,0.708,
2005-04,0.748,
2005-07,0.781,
2005-10,0.664,
2006-01,0.707,
2006-04,0.680,
2006-07,0.723,
2006-10,0.607,
2007-01,0.609,
2007-04,0.667,
2007-07,0.635,
2007-10,0.538,
2008-01,0.576,
2008-04,0.642,
2008-07,0.696,
2008-10,0.570,
2009-01,0.616,
2009-04,0.702,
2009-07,0.704,
2009-10,0.570,
2010-01,0.590,
2010-04,0.671,
2010-07,0.648,
2010-10,0.498,
2011-01,0.514,
2011-04,0.608,
2011-07,0.613,
2011-10,0.520,
2012-01,0.503,
2012-04,0.575,
2012-07,0.569,
2012-10,0.474,
2013-01,0.501,
2013-04,0.558,
2013-07,0.570,
2013-10,0.490,
2014-01,0.482,
2014-04,0.564,
2014-07,0.566,
