"",BBK01.OECB22I,BBK01.OECB22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:06,
2002-01,0.021,
2002-04,0.021,
2002-07,0.019,
2002-10,0.019,
2003-01,0.017,
2003-04,0.018,
2003-07,0.017,
2003-10,0.017,
2004-01,0.017,
2004-04,0.017,
2004-07,0.010,
2004-10,0.005,
2005-01,0.005,
2005-04,0.005,
2005-07,0.005,
2005-10,0.006,
2006-01,0.014,
2006-04,0.014,
2006-07,0.004,
2006-10,0.003,
2007-01,0.003,
2007-04,0.004,
2007-07,0.004,
2007-10,0.002,
2008-01,0.003,
2008-04,0.017,
2008-07,0.032,
2008-10,0.030,
2009-01,0.030,
2009-04,0.029,
2009-07,0.027,
2009-10,0.027,
2010-01,0.025,
2010-04,0.025,
2010-07,0.025,
2010-10,0.024,
2011-01,0.080,
2011-04,0.021,
2011-07,0.021,
2011-10,0.021,
2012-01,0.021,
2012-04,0.002,
2012-07,0.002,
2012-10,-,Nothing exists
2013-01,0.002,
2013-04,0.098,
2013-07,0.076,
2013-10,-,Nothing exists
2014-01,0.009,
2014-04,0.002,
2014-07,0.002,
