"",BBK01.OEAO03P,BBK01.OEAO03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:42,
2002-01,1.247,
2002-04,0.970,
2002-07,0.916,
2002-10,0.863,
2003-01,0.995,
2003-04,0.799,
2003-07,0.833,
2003-10,0.740,
2004-01,0.849,
2004-04,0.696,
2004-07,0.707,
2004-10,0.744,
2005-01,0.877,
2005-04,0.717,
2005-07,0.705,
2005-10,0.799,
2006-01,0.961,
2006-04,0.830,
2006-07,0.908,
2006-10,0.956,
2007-01,1.202,
2007-04,0.926,
2007-07,0.949,
2007-10,1.036,
2008-01,1.224,
2008-04,0.966,
2008-07,1.105,
2008-10,1.134,
2009-01,1.099,
2009-04,0.901,
2009-07,0.879,
2009-10,1.005,
2010-01,0.859,
2010-04,0.682,
2010-07,0.665,
2010-10,0.704,
2011-01,0.890,
2011-04,0.742,
2011-07,0.795,
2011-10,0.744,
2012-01,0.753,
2012-04,0.711,
2012-07,0.698,
2012-10,0.756,
2013-01,0.858,
2013-04,0.667,
2013-07,0.607,
2013-10,0.601,
2014-01,0.608,
2014-04,0.564,
2014-07,0.554,
