"",BBK01.WJ5008,BBK01.WJ5008_FLAGS
"",Exchange rates on the Frankfurt exchange / CAD 1 = DM ... / Canada,
unit,DEM (hypothetically euro-based),
unit multiplier,one,
last update,2012-04-18 09:19:14,
1953,4.2614,
1954,4.3156,
1955,4.2701,
1956,4.2715,
1957,4.3831,
1958,4.3193,
1959,4.3589,
1960,4.3026,
1961,3.9752,
1962,3.7412,
1963,3.6959,
1964,3.6852,
1965,3.7054,
1966,3.7115,
1967,3.6961,
1968,3.7054,
1969,3.6446,
1970,3.4966,
1971,3.4459,
1972,3.2200,
1973,2.6599,
1974,2.6486,
1975,2.4218,
1976,2.5541,
1977,2.1860,
1978,1.7649,
1979,1.5651,
1980,1.5542,
1981,1.8860,
1982,1.9694,
1983,2.0738,
1984,2.1979,
1985,2.1577,
1986,1.5619,
1987,1.3565,
1988,1.4307,
1989,1.5889,
1990,1.3845,
1991,1.4501,
1992,1.2917,
1993,1.2823,
1994,1.1884,
1995,1.0443,
1996,1.1027,
1997,1.2533,
1998,1.1884,
"","General: Average calculated from daily quotations. From 11 May 1953 to 30 December 1998 official quotation on the Frankfurt exchange. From January 1999, euro reference exchange rates of the European Central Bank; see wj5621.",
