"",BBK01.OEAL04O,BBK01.OEAL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:17,
2002-01,0.671,
2002-04,0.877,
2002-07,1.025,
2002-10,1.394,
2003-01,1.731,
2003-04,1.785,
2003-07,1.990,
2003-10,2.131,
2004-01,2.334,
2004-04,2.333,
2004-07,2.287,
2004-10,2.343,
2005-01,4.826,
2005-04,4.772,
2005-07,4.838,
2005-10,4.893,
2006-01,4.962,
2006-04,5.073,
2006-07,5.248,
2006-10,5.667,
2007-01,6.003,
2007-04,6.423,
2007-07,6.833,
2007-10,7.759,
2008-01,8.327,
2008-04,9.011,
2008-07,10.029,
2008-10,11.308,
2009-01,10.451,
2009-04,9.217,
2009-07,7.753,
2009-10,6.554,
2010-01,5.514,
2010-04,4.920,
2010-07,4.498,
2010-10,4.303,
2011-01,4.116,
2011-04,4.196,
2011-07,4.219,
2011-10,4.272,
2012-01,4.204,
2012-04,4.112,
2012-07,3.886,
2012-10,3.627,
2013-01,3.166,
2013-04,3.019,
2013-07,2.857,
2013-10,2.744,
2014-01,2.615,
2014-04,2.537,
2014-07,2.504,
