"",BBK01.OEAC33G,BBK01.OEAC33G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:06,
2002-01,0.294,
2002-04,0.328,
2002-07,0.422,
2002-10,0.416,
2003-01,0.429,
2003-04,0.410,
2003-07,0.411,
2003-10,0.498,
2004-01,0.480,
2004-04,0.467,
2004-07,0.470,
2004-10,0.452,
2005-01,0.287,
2005-04,0.243,
2005-07,0.231,
2005-10,0.246,
2006-01,0.242,
2006-04,0.248,
2006-07,0.264,
2006-10,0.167,
2007-01,0.160,
2007-04,0.164,
2007-07,0.164,
2007-10,0.171,
2008-01,0.147,
2008-04,0.173,
2008-07,0.175,
2008-10,0.244,
2009-01,0.405,
2009-04,0.429,
2009-07,0.510,
2009-10,0.584,
2010-01,0.554,
2010-04,0.509,
2010-07,0.536,
2010-10,0.509,
2011-01,0.518,
2011-04,0.506,
2011-07,0.548,
2011-10,0.599,
2012-01,0.650,
2012-04,0.638,
2012-07,0.684,
2012-10,0.740,
2013-01,0.700,
2013-04,0.674,
2013-07,0.723,
2013-10,0.549,
2014-01,0.577,
2014-04,0.539,
2014-07,0.592,
