"",BBK01.OEHJ07H,BBK01.OEHJ07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:50,
2002-01,0.285,
2002-04,0.272,
2002-07,0.256,
2002-10,0.262,
2003-01,0.264,
2003-04,0.260,
2003-07,0.257,
2003-10,0.269,
2004-01,0.278,
2004-04,0.271,
2004-07,0.275,
2004-10,0.289,
2005-01,0.295,
2005-04,0.302,
2005-07,0.291,
2005-10,0.303,
2006-01,0.291,
2006-04,0.293,
2006-07,0.281,
2006-10,0.284,
2007-01,0.275,
2007-04,0.256,
2007-07,0.226,
2007-10,0.200,
2008-01,0.169,
2008-04,0.155,
2008-07,0.145,
2008-10,0.142,
2009-01,0.152,
2009-04,0.159,
2009-07,0.176,
2009-10,0.199,
2010-01,0.207,
2010-04,0.223,
2010-07,0.220,
2010-10,0.222,
2011-01,0.231,
2011-04,0.216,
2011-07,0.210,
2011-10,0.213,
2012-01,0.209,
2012-04,0.217,
2012-07,0.214,
2012-10,0.217,
2013-01,0.213,
2013-04,0.207,
2013-07,0.206,
2013-10,0.201,
2014-01,0.199,
2014-04,0.198,
2014-07,0.199,
