"",BBK01.QUV592,BBK01.QUV592_FLAGS
"",Banks in Germany: Short-term loans and advances to non- residents / Hong Kong / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:23:24,
2001-12,4.940,
2002-01,4.993,
2002-02,4.503,
2002-03,4.377,
2002-04,4.728,
2002-05,4.678,
2002-06,4.901,
2002-07,4.939,
2002-08,6.432,
2002-09,7.426,
2002-10,7.315,
2002-11,6.668,
2002-12,6.747,
2003-01,5.998,
2003-02,5.924,
2003-03,6.511,
2003-04,6.636,
2003-05,6.444,
2003-06,6.606,
2003-07,6.277,
2003-08,3.062,
2003-09,3.214,
2003-10,3.145,
2003-11,3.040,
2003-12,3.667,
2004-01,3.892,
2004-02,4.157,
2004-03,4.460,
2004-04,3.651,
2004-05,4.145,
2004-06,4.349,
2004-07,3.388,
2004-08,3.506,
2004-09,3.493,
2004-10,3.604,
2004-11,2.825,
2004-12,3.734,
2005-01,3.367,
2005-02,3.135,
2005-03,4.266,
2005-04,4.173,
2005-05,4.498,
2005-06,5.674,
2005-07,5.764,
2005-08,4.796,
2005-09,5.396,
2005-10,4.298,
2005-11,5.162,
2005-12,4.433,
2006-01,4.667,
2006-02,3.995,
2006-03,3.592,
2006-04,3.291,
2006-05,3.180,
2006-06,4.620,
2006-07,5.492,
2006-08,5.382,
2006-09,4.631,
2006-10,4.057,
2006-11,3.562,
2006-12,3.510,
2007-01,3.876,
2007-02,4.650,
2007-03,5.298,
2007-04,3.613,
2007-05,3.741,
2007-06,3.656,
2007-07,4.964,
2007-08,6.722,
2007-09,7.511,
2007-10,7.054,
2007-11,7.045,
2007-12,6.725,
2008-01,8.360,
2008-02,10.143,
2008-03,8.829,
2008-04,9.618,
2008-05,7.849,
2008-06,7.845,
2008-07,7.588,
2008-08,6.803,
2008-09,6.387,
2008-10,8.926,
2008-11,9.787,
2008-12,10.675,
2009-01,8.634,
2009-02,9.122,
2009-03,9.434,
2009-04,8.914,
2009-05,9.293,
2009-06,8.531,
2009-07,8.492,
2009-08,8.205,
2009-09,9.413,
2009-10,7.982,
2009-11,7.666,
2009-12,8.715,
2010-01,8.097,
2010-02,8.420,
2010-03,8.658,
2010-04,9.096,
2010-05,8.413,
2010-06,7.537,
2010-07,6.281,
2010-08,5.465,
2010-09,4.866,
2010-10,5.357,
2010-11,6.247,
2010-12,6.403,
2011-01,6.503,
2011-02,6.377,
2011-03,6.435,
2011-04,6.087,
2011-05,6.007,
2011-06,6.658,
2011-07,6.331,
2011-08,6.869,
2011-09,7.270,
2011-10,6.886,
2011-11,7.525,
2011-12,7.946,
2012-01,7.674,
2012-02,7.219,
2012-03,6.846,
2012-04,6.336,
2012-05,5.996,
2012-06,5.924,
2012-07,5.607,
2012-08,5.319,
2012-09,5.344,
2012-10,5.051,
2012-11,4.853,
2012-12,5.406,
2013-01,5.186,
2013-02,5.147,
2013-03,5.063,
2013-04,4.847,
2013-05,4.096,
2013-06,4.373,
2013-07,3.729,
2013-08,3.531,
2013-09,4.411,
2013-10,4.426,
2013-11,4.862,
2013-12,5.403,
2014-01,6.148,
2014-02,6.557,
2014-03,6.763,
2014-04,5.703,
2014-05,5.823,
2014-06,5.965,
2014-07,5.870,
2014-08,5.744,
2014-09,5.947,
2014-10,5.830,
2014-11,5.208,
2014-12,5.372,
