"",BBK01.OEAF05O,BBK01.OEAF05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:54,
2002-01,9.716,
2002-04,9.746,
2002-07,9.689,
2002-10,9.698,
2003-01,9.310,
2003-04,9.221,
2003-07,9.249,
2003-10,8.994,
2004-01,8.808,
2004-04,8.741,
2004-07,8.882,
2004-10,8.951,
2005-01,8.893,
2005-04,8.892,
2005-07,9.362,
2005-10,9.328,
2006-01,9.229,
2006-04,9.167,
2006-07,9.193,
2006-10,9.018,
2007-01,8.989,
2007-04,8.980,
2007-07,9.023,
2007-10,8.859,
2008-01,8.834,
2008-04,8.854,
2008-07,8.954,
2008-10,8.852,
2009-01,8.811,
2009-04,8.827,
2009-07,8.833,
2009-10,9.395,
2010-01,9.934,
2010-04,10.510,
2010-07,9.382,
2010-10,8.783,
2011-01,8.791,
2011-04,8.891,
2011-07,8.991,
2011-10,8.910,
2012-01,9.263,
2012-04,9.538,
2012-07,9.412,
2012-10,9.131,
2013-01,9.029,
2013-04,8.593,
2013-07,8.652,
2013-10,8.276,
2014-01,8.126,
2014-04,8.165,
2014-07,8.199,
