"",BBFN1.M.DE.N.1.L.R12.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:08,
1994-11,.,No value available
1994-12,1.510,
1995-01,1.435,
1995-02,1.211,
1995-03,1.416,
1995-04,1.298,
1995-05,1.280,
1995-06,1.305,
1995-07,1.394,
1995-08,1.413,
1995-09,1.384,
1995-10,1.443,
1995-11,1.535,
1995-12,1.676,
1996-01,1.724,
1996-02,1.716,
1996-03,1.591,
1996-04,1.697,
1996-05,1.759,
1996-06,1.781,
1996-07,1.809,
1996-08,1.895,
1996-09,1.746,
1996-10,1.763,
1996-11,1.804,
1996-12,1.810,
1997-01,1.697,
1997-02,1.626,
1997-03,1.718,
1997-04,1.731,
1997-05,1.662,
1997-06,1.782,
1997-07,1.834,
1997-08,2.067,
1997-09,1.972,
1997-10,1.953,
1997-11,2.108,
1997-12,2.101,
1998-01,2.046,
1998-02,1.977,
1998-03,2.100,
1998-04,2.235,
1998-05,2.191,
1998-06,2.088,
1998-07,1.960,
1998-08,1.821,
1998-09,1.885,
1998-10,1.830,
1998-11,1.779,
1998-12,1.738,
1999-01,1.566,
1999-02,1.510,
1999-03,1.676,
1999-04,1.662,
1999-05,1.681,
1999-06,1.828,
1999-07,1.863,
1999-08,1.920,
1999-09,2.035,
1999-10,2.078,
1999-11,1.981,
1999-12,2.260,
2000-01,2.291,
2000-02,2.325,
2000-03,2.358,
2000-04,2.499,
2000-05,2.649,
2000-06,2.826,
2000-07,2.829,
2000-08,2.854,
2000-09,3.146,
2000-10,2.691,
2000-11,2.794,
2000-12,2.845,
2001-01,2.620,
2001-02,2.684,
2001-03,2.736,
2001-04,2.870,
2001-05,3.023,
2001-06,3.115,
2001-07,2.933,
2001-08,3.021,
2001-09,2.940,
2001-10,2.896,
2001-11,3.025,
2001-12,3.110,
2002-01,2.711,
2002-02,2.519,
2002-03,3.036,
2002-04,2.461,
2002-05,2.669,
2002-06,2.750,
2002-07,3.076,
2002-08,2.941,
2002-09,2.983,
2002-10,2.663,
2002-11,2.833,
2002-12,3.011,
2003-01,3.026,
2003-02,2.654,
2003-03,2.928,
2003-04,2.977,
2003-05,2.651,
2003-06,2.657,
2003-07,2.869,
2003-08,2.697,
2003-09,2.938,
2003-10,2.828,
2003-11,2.690,
2003-12,2.681,
2004-01,2.409,
2004-02,2.373,
2004-03,2.889,
2004-04,2.726,
2004-05,2.577,
2004-06,2.524,
2004-07,2.479,
2004-08,2.239,
2004-09,2.403,
2004-10,2.141,
2004-11,2.439,
2004-12,2.751,
2005-01,2.378,
2005-02,2.452,
2005-03,2.654,
2005-04,2.693,
2005-05,2.851,
2005-06,2.889,
2005-07,2.807,
2005-08,2.737,
2005-09,2.891,
2005-10,2.858,
2005-11,2.517,
2005-12,2.688,
2006-01,2.578,
2006-02,2.657,
2006-03,2.955,
2006-04,2.949,
2006-05,3.221,
2006-06,3.185,
2006-07,3.288,
2006-08,3.356,
2006-09,3.523,
2006-10,3.890,
2006-11,3.865,
2006-12,3.485,
2007-01,3.471,
2007-02,3.519,
2007-03,3.457,
2007-04,3.463,
2007-05,3.454,
2007-06,3.523,
2007-07,3.044,
2007-08,3.154,
2007-09,3.449,
2007-10,3.297,
2007-11,3.436,
2007-12,3.527,
2008-01,3.382,
2008-02,3.391,
2008-03,3.530,
2008-04,3.538,
2008-05,3.617,
2008-06,3.661,
2008-07,4.072,
2008-08,3.964,
2008-09,3.986,
2008-10,3.866,
2008-11,3.724,
2008-12,3.763,
2009-01,3.592,
2009-02,3.625,
2009-03,3.651,
2009-04,3.603,
2009-05,3.571,
2009-06,3.653,
2009-07,3.735,
2009-08,3.762,
2009-09,3.657,
2009-10,3.732,
2009-11,3.795,
2009-12,3.905,
2010-01,4.106,
2010-02,4.201,
2010-03,4.078,
2010-04,4.282,
2010-05,4.328,
2010-06,4.025,
2010-07,4.078,
2010-08,3.852,
2010-09,3.828,
2010-10,3.790,
2010-11,3.891,
2010-12,4.311,
2011-01,4.429,
2011-02,4.303,
2011-03,4.108,
2011-04,4.278,
2011-05,4.181,
2011-06,4.056,
2011-07,4.103,
2011-08,4.280,
2011-09,4.439,
2011-10,4.047,
2011-11,4.140,
2011-12,4.289,
2012-01,4.531,
2012-02,4.621,
2012-03,4.476,
2012-04,4.493,
2012-05,4.547,
2012-06,4.561,
2012-07,4.575,
2012-08,4.698,
2012-09,4.934,
2012-10,4.733,
2012-11,5.916,
2012-12,5.780,
2013-01,5.732,
2013-02,5.623,
2013-03,5.426,
2013-04,5.228,
2013-05,5.008,
2013-06,5.279,
2013-07,5.179,
2013-08,5.510,
2013-09,5.884,
2013-10,5.578,
2013-11,5.645,
2013-12,6.015,
2014-01,5.928,
2014-02,6.037,
2014-03,6.354,
2014-04,6.174,
2014-05,6.292,
2014-06,6.627,
2014-07,6.640,
2014-08,6.773,
2014-09,6.922,
2014-10,6.779,
2014-11,6.725,
2014-12,6.964,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
