"",BBK01.OEYI09G,BBK01.OEYI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:26,
2002-01,0.887,
2002-04,0.898,
2002-07,0.877,
2002-10,0.893,
2003-01,0.872,
2003-04,0.862,
2003-07,0.826,
2003-10,0.705,
2004-01,0.617,
2004-04,0.561,
2004-07,0.519,
2004-10,0.560,
2005-01,0.530,
2005-04,0.504,
2005-07,0.652,
2005-10,0.617,
2006-01,0.527,
2006-04,0.446,
2006-07,0.426,
2006-10,0.399,
2007-01,0.350,
2007-04,0.330,
2007-07,0.318,
2007-10,0.294,
2008-01,0.257,
2008-04,0.233,
2008-07,0.216,
2008-10,0.146,
2009-01,0.133,
2009-04,0.151,
2009-07,0.231,
2009-10,0.807,
2010-01,0.932,
2010-04,0.958,
2010-07,0.970,
2010-10,1.018,
2011-01,1.117,
2011-04,0.986,
2011-07,0.953,
2011-10,0.948,
2012-01,1.237,
2012-04,1.365,
2012-07,1.379,
2012-10,1.445,
2013-01,1.320,
2013-04,1.289,
2013-07,1.252,
2013-10,1.039,
2014-01,0.872,
2014-04,0.812,
2014-07,0.771,
