"",BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:09,
1991-01,1329.825,
1991-04,701.197,
1991-07,-585.589,
1991-10,171.267,
1992-01,1573.045,
1992-04,-332.829,
1992-07,-917.940,
1992-10,530.131,
1993-01,818.496,
1993-04,882.821,
1993-07,440.644,
1993-10,904.530,
1994-01,1795.961,
1994-04,1370.769,
1994-07,1505.154,
1994-10,833.364,
1995-01,1576.858,
1995-04,783.444,
1995-07,2243.624,
1995-10,206.867,
1996-01,4252.557,
1996-04,1751.912,
1996-07,1767.062,
1996-10,282.408,
1997-01,5227.119,
1997-04,4409.084,
1997-07,5894.368,
1997-10,245.022,
1998-01,6355.872,
1998-04,12444.860,
1998-07,1533.925,
1998-10,-6019.191,
1999-01,5059.274,
1999-04,6969.167,
1999-07,5259.704,
1999-10,5661.320,
2000-01,13819.677,
2000-04,8511.787,
2000-07,8258.045,
2000-10,499.265,
2001-01,8499.616,
2001-04,10816.721,
2001-07,-3627.330,
2001-10,15502.755,
2002-01,-1203.592,
2002-04,4395.457,
2002-07,-75.188,
2002-10,2906.963,
2003-01,-2019.585,
2003-04,9973.170,
2003-07,-7153.846,
2003-10,-201.249,
2004-01,5374.368,
2004-04,2227.239,
2004-07,1118.145,
2004-10,3241.601,
2005-01,6724.129,
2005-04,-169.819,
2005-07,5123.926,
2005-10,10861.364,
2006-01,9185.124,
2006-04,2364.637,
2006-07,5333.892,
2006-10,8269.460,
2007-01,15731.541,
2007-04,10326.151,
2007-07,10843.278,
2007-10,15981.570,
2008-01,-1101.211,
2008-04,-12111.272,
2008-07,5740.818,
2008-10,-10210.154,
2009-01,-348.864,
2009-04,5065.347,
2009-07,-3492.672,
2009-10,-2070.724,
2010-01,-6165.792,
2010-04,-1565.388,
2010-07,-716.618,
2010-10,25072.805,
2011-01,-833.174,
2011-04,-1300.396,
2011-07,-3243.501,
2011-10,3620.335,
2012-01,-6644.809,
2012-04,-4158.832,
2012-07,3642.192,
2012-10,7622.024,
2013-01,7644.617,
2013-04,6107.659,
2013-07,12245.388,
2013-10,3820.070,
2014-01,4779.486,Provisional value
2014-04,8845.774,Provisional value
2014-07,6590.325,Provisional value
2014-10,11726.752,Provisional value
