"",BBFB1.Q.N.DE.BE.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:54,
1991-01,-393.414,
1991-04,-422.483,
1991-07,-313.494,
1991-10,-474.387,
1992-01,-374.008,
1992-04,-417.496,
1992-07,-328.166,
1992-10,-259.480,
1993-01,-255.967,
1993-04,-562.399,
1993-07,-274.944,
1993-10,-181.697,
1994-01,-489.307,
1994-04,-594.636,
1994-07,-414.463,
1994-10,176.878,
1995-01,-507.699,
1995-04,-617.196,
1995-07,-399.984,
1995-10,-24.105,
1996-01,59.465,
1996-04,-1049.832,
1996-07,-453.164,
1996-10,-100.948,
1997-01,-618.203,
1997-04,-706.306,
1997-07,-270.541,
1997-10,206.474,
1998-01,-249.626,
1998-04,-386.224,
1998-07,-284.194,
1998-10,-325.258,
1999-01,5858.221,
1999-04,6095.952,
1999-07,5572.603,
1999-10,6335.401,
2000-01,6726.653,
2000-04,6692.969,
2000-07,6158.087,
2000-10,6876.021,
2001-01,7315.164,
2001-04,7668.143,
2001-07,6332.964,
2001-10,6659.975,
2002-01,6591.256,
2002-04,6747.468,
2002-07,6550.886,
2002-10,6760.100,
2003-01,6889.099,
2003-04,6334.984,
2003-07,6368.720,
2003-10,7088.294,
2004-01,6920.909,
2004-04,7400.304,
2004-07,6811.904,
2004-10,6856.528,
2005-01,7590.117,
2005-04,7460.863,
2005-07,7016.902,
2005-10,7948.317,
2006-01,8464.790,
2006-04,8235.903,
2006-07,7686.775,
2006-10,8660.161,
2007-01,10557.591,
2007-04,9453.741,
2007-07,9023.653,
2007-10,9345.685,
2008-01,9637.479,
2008-04,9748.446,
2008-07,9007.037,
2008-10,8343.622,
2009-01,8364.446,
2009-04,7077.228,
2009-07,7391.117,
2009-10,7906.099,
2010-01,8127.196,
2010-04,8253.872,
2010-07,8215.393,
2010-10,8684.432,
2011-01,9781.611,
2011-04,9552.768,
2011-07,9104.137,
2011-10,9434.182,
2012-01,10496.806,
2012-04,9948.142,
2012-07,9644.770,
2012-10,10298.809,
2013-01,10727.773,
2013-04,9991.674,
2013-07,9361.891,
2013-10,9610.433,
2014-01,10073.028,Provisional value
2014-04,9786.662,Provisional value
2014-07,9271.075,Provisional value
