"",BBFB1.Q.N.DE.W03100.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:30,
1991-01,-1158.427,
1991-04,-1029.333,
1991-07,-1138.416,
1991-10,-1347.539,
1992-01,-1327.636,
1992-04,-1333.454,
1992-07,-1971.515,
1992-10,-1622.066,
1993-01,-1536.997,
1993-04,-1578.802,
1993-07,-1828.945,
1993-10,-1728.818,
1994-01,-1966.223,
1994-04,-1908.991,
1994-07,-2485.450,
1994-10,-2205.507,
1995-01,-2053.066,
1995-04,-2039.432,
1995-07,-2369.631,
1995-10,-2063.347,
1996-01,-2199.927,
1996-04,-2127.866,
1996-07,-2444.571,
1996-10,-2128.950,
1997-01,-2215.099,
1997-04,-2162.334,
1997-07,-2138.535,
1997-10,-2286.967,
1998-01,-2110.295,
1998-04,-2035.126,
1998-07,-2246.746,
1998-10,-2149.969,
1999-01,-2080.756,
1999-04,-1944.241,
1999-07,-2453.771,
1999-10,-2666.823,
2000-01,-2678.581,
2000-04,-2956.778,
2000-07,-2998.821,
2000-10,-2826.648,
2001-01,-3341.132,
2001-04,-2698.758,
2001-07,-3195.464,
2001-10,-2099.461,
2002-01,-2479.859,
2002-04,-2120.896,
2002-07,-2711.881,
2002-10,-1971.957,
2003-01,-2788.351,
2003-04,-1678.369,
2003-07,-2854.328,
2003-10,-1789.932,
2004-01,-2521.876,
2004-04,-1757.062,
2004-07,-3171.611,
2004-10,-1968.192,
2005-01,-2407.785,
2005-04,-2171.608,
2005-07,-2665.505,
2005-10,-1619.626,
2006-01,-2557.329,
2006-04,-1820.694,
2006-07,-2952.037,
2006-10,-1657.533,
2007-01,-2040.346,
2007-04,-1948.535,
2007-07,-3200.997,
2007-10,-2005.438,
2008-01,-1566.002,
2008-04,-1444.710,
2008-07,-2327.095,
2008-10,-568.357,
2009-01,-692.471,
2009-04,-376.876,
2009-07,-1572.814,
2009-10,-439.877,
2010-01,-1583.902,
2010-04,-1393.669,
2010-07,-1699.514,
2010-10,-725.022,
2011-01,-1515.100,
2011-04,-835.029,
2011-07,-2083.864,
2011-10,-433.362,
2012-01,-1882.067,
2012-04,-1196.077,
2012-07,-2742.382,
2012-10,-987.609,
2013-01,-2780.190,
2013-04,-1819.608,
2013-07,-2768.940,
2013-10,-1469.221,
2014-01,-1335.402,Provisional value
2014-04,-762.551,Provisional value
2014-07,-2837.422,Provisional value
