"",BBSF2.M.1.S.I1250.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:28,
2009-09,3,
2009-10,51,
2009-11,19,
2009-12,99,
2010-01,232,
2010-02,27,
2010-03,416,
2010-04,627,
2010-05,105,
2010-06,489,
2010-07,71,
2010-08,43,
2010-09,70,
2010-10,22,
2010-11,167,
2010-12,269,
2011-01,167,
2011-02,291,
2011-03,110,
2011-04,184,
2011-05,369,
2011-06,77,
2011-07,187,
2011-08,69,
2011-09,42,
2011-10,24,
2011-11,92,
2011-12,116,
2012-01,248,
2012-02,37,
2012-03,151,
2012-04,15,
2012-05,797,
2012-06,66,
2012-07,29,
2012-08,56,
2012-09,182,
2012-10,201,
2012-11,743,
2012-12,278,
2013-01,495,
2013-02,108,
2013-03,1016,
2013-04,813,
2013-05,414,
2013-06,202,
2013-07,115,
2013-08,282,
2013-09,486,
2013-10,618,
2013-11,787,
2013-12,797,
2014-01,129,
2014-02,76,
2014-03,94,
2014-04,4872,
2014-05,107,
2014-06,15,
2014-07,989,
2014-08,522,
2014-09,307,
2014-10,263,
2014-11,1794,
