"",BBSF2.M.1.P.00000.DAC01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Funds-of-funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:29,
2009-09,12,
2009-10,12,
2009-11,17,
2009-12,19,
2010-01,18,
2010-02,16,
2010-03,18,
2010-04,18,
2010-05,19,
2010-06,20,
2010-07,21,
2010-08,20,
2010-09,23,
2010-10,24,
2010-11,23,
2010-12,25,
2011-01,27,
2011-02,28,
2011-03,29,
2011-04,30,
2011-05,28,
2011-06,28,
2011-07,36,
2011-08,24,
2011-09,24,
2011-10,23,
2011-11,21,
2011-12,25,
2012-01,46,
2012-02,43,
2012-03,34,
2012-04,30,
2012-05,29,
2012-06,28,
2012-07,31,
2012-08,48,
2012-09,53,
2012-10,58,
2012-11,63,
2012-12,72,
2013-01,72,
2013-02,73,
2013-03,70,
2013-04,67,
2013-05,68,
2013-06,51,
2013-07,60,
2013-08,78,
2013-09,101,
2013-10,103,
2013-11,109,
2013-12,124,
2014-01,126,
2014-02,130,
2014-03,145,
2014-04,166,
2014-05,181,
2014-06,161,
2014-07,166,
2014-08,159,
2014-09,156,
2014-10,157,
2014-11,159,
