"",BBK01.OELB09M,BBK01.OELB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:08,
2002-01,4.157,
2002-04,4.179,
2002-07,4.175,
2002-10,4.165,
2003-01,4.160,
2003-04,4.172,
2003-07,4.209,
2003-10,4.152,
2004-01,4.154,
2004-04,4.154,
2004-07,4.167,
2004-10,4.125,
2005-01,4.189,
2005-04,4.220,
2005-07,4.208,
2005-10,4.171,
2006-01,4.334,
2006-04,4.395,
2006-07,4.520,
2006-10,4.522,
2007-01,4.619,
2007-04,4.701,
2007-07,4.873,
2007-10,5.050,
2008-01,5.130,
2008-04,5.274,
2008-07,5.558,
2008-10,5.671,
2009-01,5.785,
2009-04,5.897,
2009-07,5.935,
2009-10,6.016,
2010-01,6.215,
2010-04,6.303,
2010-07,6.587,
2010-10,6.796,
2011-01,7.013,
2011-04,7.291,
2011-07,7.110,
2011-10,6.545,
2012-01,6.782,
2012-04,7.099,
2012-07,7.303,
2012-10,7.360,
2013-01,7.486,
2013-04,7.578,
2013-07,7.702,
2013-10,7.825,
2014-01,8.000,
2014-04,8.252,
2014-07,8.463,
