"",BBFN1.M.DE.N.1.A.CA.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:27,
1975-12,0.020,
1976-01,0.025,
1976-02,0.058,
1976-03,0.052,
1976-04,0.056,
1976-05,0.057,
1976-06,0.057,
1976-07,0.066,
1976-08,0.061,
1976-09,0.059,
1976-10,0.057,
1976-11,0.059,
1976-12,0.026,
1977-01,0.059,
1977-02,0.060,
1977-03,0.054,
1977-04,0.059,
1977-05,0.084,
1977-06,0.084,
1977-07,0.092,
1977-08,0.084,
1977-09,0.065,
1977-10,0.091,
1977-11,0.072,
1977-12,0.030,
1978-01,0.059,
1978-02,0.080,
1978-03,0.056,
1978-04,0.057,
1978-05,0.091,
1978-06,0.104,
1978-07,0.090,
1978-08,0.089,
1978-09,0.102,
1978-10,0.117,
1978-11,0.087,
1978-12,0.044,
1979-01,0.087,
1979-02,0.089,
1979-03,0.081,
1979-04,0.052,
1979-05,0.111,
1979-06,0.106,
1979-07,0.101,
1979-08,0.102,
1979-09,0.101,
1979-10,0.065,
1979-11,0.051,
1979-12,0.021,
1980-01,0.048,
1980-02,0.024,
1980-03,0.060,
1980-04,0.062,
1980-05,0.040,
1980-06,0.019,
1980-07,0.032,
1980-08,0.025,
1980-09,0.059,
1980-10,0.053,
1980-11,0.027,
1980-12,0.029,
1981-01,0.031,
1981-02,0.038,
1981-03,0.053,
1981-04,0.058,
1981-05,0.054,
1981-06,0.053,
1981-07,0.057,
1981-08,0.074,
1981-09,0.041,
1981-10,0.055,
1981-11,0.062,
1981-12,0.049,
1982-01,0.056,
1982-02,0.054,
1982-03,0.060,
1982-04,0.061,
1982-05,0.060,
1982-06,0.064,
1982-07,0.053,
1982-08,0.061,
1982-09,0.067,
1982-10,0.070,
1982-11,0.054,
1982-12,0.042,
1983-01,0.080,
1983-02,0.053,
1983-03,0.094,
1983-04,0.072,
1983-05,0.084,
1983-06,0.069,
1983-07,0.061,
1983-08,0.056,
1983-09,0.060,
1983-10,0.095,
1983-11,0.050,
1983-12,0.051,
1984-01,0.143,
1984-02,0.050,
1984-03,0.165,
1984-04,0.212,
1984-05,0.132,
1984-06,0.058,
1984-07,0.092,
1984-08,0.093,
1984-09,0.085,
1984-10,0.102,
1984-11,0.097,
1984-12,0.061,
1985-01,0.090,
1985-02,0.117,
1985-03,0.064,
1985-04,0.067,
1985-05,0.085,
1985-06,0.145,
1985-07,0.100,
1985-08,0.075,
1985-09,0.070,
1985-10,0.080,
1985-11,0.080,
1985-12,0.064,
1986-01,0.067,
1986-02,0.067,
1986-03,0.080,
1986-04,0.072,
1986-05,0.083,
1986-06,0.072,
1986-07,0.099,
1986-08,0.114,
1986-09,0.085,
1986-10,0.107,
1986-11,0.112,
1986-12,0.119,
1987-01,0.117,
1987-02,0.102,
1987-03,0.102,
1987-04,0.144,
1987-05,0.159,
1987-06,0.112,
1987-07,0.116,
1987-08,0.104,
1987-09,0.097,
1987-10,0.094,
1987-11,0.105,
1987-12,0.110,
1988-01,0.135,
1988-02,0.117,
1988-03,0.112,
1988-04,0.122,
1988-05,0.108,
1988-06,0.100,
1988-07,0.108,
1988-08,0.103,
1988-09,0.102,
1988-10,0.099,
1988-11,0.090,
1988-12,0.111,
1989-01,0.140,
1989-02,0.172,
1989-03,0.186,
1989-04,0.214,
1989-05,0.211,
1989-06,0.210,
1989-07,0.203,
1989-08,0.180,
1989-09,0.229,
1989-10,0.197,
1989-11,0.149,
1989-12,0.134,
1990-01,0.131,
1990-02,0.529,
1990-03,0.571,
1990-04,0.603,
1990-05,0.516,
1990-06,0.520,
1990-07,0.559,
1990-08,0.463,
1990-09,0.462,
1990-10,0.168,
1990-11,0.269,
1990-12,0.178,
1991-01,0.166,
1991-02,0.144,
1991-03,0.161,
1991-04,0.178,
1991-05,0.174,
1991-06,0.171,
1991-07,0.182,
1991-08,0.131,
1991-09,0.136,
1991-10,0.224,
1991-11,0.170,
1991-12,0.106,
1992-01,0.162,
1992-02,0.137,
1992-03,0.214,
1992-04,0.219,
1992-05,0.224,
1992-06,0.171,
1992-07,0.174,
1992-08,0.177,
1992-09,0.094,
1992-10,0.110,
1992-11,0.123,
1992-12,0.101,
1993-01,0.148,
1993-02,0.238,
1993-03,0.268,
1993-04,0.298,
1993-05,0.246,
1993-06,0.239,
1993-07,0.371,
1993-08,0.309,
1993-09,0.332,
1993-10,0.264,
1993-11,0.370,
1993-12,0.273,
1994-01,0.144,
1994-02,0.157,
1994-03,0.144,
1994-04,0.155,
1994-05,0.177,
1994-06,0.211,
1994-07,0.213,
1994-08,0.251,
1994-09,0.257,
1994-10,0.274,
1994-11,0.305,
1994-12,0.278,
1995-01,0.270,
1995-02,0.261,
1995-03,0.209,
1995-04,0.207,
1995-05,0.225,
1995-06,0.216,
1995-07,0.228,
1995-08,0.185,
1995-09,0.110,
1995-10,0.154,
1995-11,0.145,
1995-12,0.037,
1996-01,0.048,
1996-02,0.024,
1996-03,0.025,
1996-04,0.024,
1996-05,0.028,
1996-06,0.029,
1996-07,0.028,
1996-08,0.024,
1996-09,0.023,
1996-10,0.032,
1996-11,0.024,
1996-12,0.021,
1997-01,0.019,
1997-02,0.021,
1997-03,0.024,
1997-04,0.021,
1997-05,0.024,
1997-06,0.030,
1997-07,0.022,
1997-08,0.025,
1997-09,0.038,
1997-10,0.041,
1997-11,0.022,
1997-12,0.024,
1998-01,0.024,
1998-02,0.024,
