"",BBK01.OEBM07L,BBK01.OEBM07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:57,
2002-01,0.004,
2002-04,0.004,
2002-07,0.004,
2002-10,0.003,
2003-01,0.004,
2003-04,0.004,
2003-07,0.008,
2003-10,0.009,
2004-01,0.006,
2004-04,0.005,
2004-07,0.005,
2004-10,0.005,
2005-01,0.015,
2005-04,0.012,
2005-07,0.006,
2005-10,0.004,
2006-01,0.005,
2006-04,0.011,
2006-07,0.011,
2006-10,0.008,
2007-01,0.008,
2007-04,0.008,
2007-07,0.009,
2007-10,0.007,
2008-01,0.014,
2008-04,0.013,
2008-07,0.013,
2008-10,0.013,
2009-01,0.073,
2009-04,0.098,
2009-07,0.069,
2009-10,0.115,
2010-01,0.019,
2010-04,0.023,
2010-07,0.018,
2010-10,0.025,
2011-01,0.042,
2011-04,0.030,
2011-07,0.022,
2011-10,0.007,
2012-01,0.007,
2012-04,0.006,
2012-07,0.010,
2012-10,0.014,
2013-01,0.017,
2013-04,0.015,
2013-07,0.018,
2013-10,0.015,
2014-01,0.014,
2014-04,0.011,
2014-07,0.009,
