"",BBSF2.M.1.T.00000.GEM01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed securities funds / Number / World not allocated (geographically) / All issuer sectors,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:05,
2009-09,2215,
2009-10,2204,
2009-11,2209,
2009-12,2194,
2010-01,2185,
2010-02,2154,
2010-03,2145,
2010-04,2104,
2010-05,2082,
2010-06,2078,
2010-07,2070,
2010-08,2078,
2010-09,2071,
2010-10,2077,
2010-11,2080,
2010-12,2183,
2011-01,2186,
2011-02,2181,
2011-03,2176,
2011-04,2181,
2011-05,2175,
2011-06,2165,
2011-07,2162,
2011-08,2146,
2011-09,2145,
2011-10,2133,
2011-11,2120,
2011-12,2107,
2012-01,2107,
2012-02,2109,
2012-03,2101,
2012-04,2118,
2012-05,2110,
2012-06,2114,
2012-07,2117,
2012-08,2116,
2012-09,2124,
2012-10,2127,
2012-11,2136,
2012-12,2140,
2013-01,2139,
2013-02,2142,
2013-03,2137,
2013-04,2142,
2013-05,2145,
2013-06,2148,
2013-07,2245,
2013-08,2250,
2013-09,2235,
2013-10,2222,
2013-11,2206,
2013-12,2223,
2014-01,2207,
2014-02,2222,
2014-03,2204,
2014-04,2215,
2014-05,2215,
2014-06,2198,
2014-07,2191,
2014-08,2334,
2014-09,2329,
2014-10,2327,
2014-11,2304,
