"",BBK01.OEXB08V,BBK01.OEXB08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:32,
2002-01,7.186,
2002-04,7.351,
2002-07,7.517,
2002-10,7.568,
2003-01,7.617,
2003-04,7.549,
2003-07,7.646,
2003-10,7.710,
2004-01,7.718,
2004-04,7.466,
2004-07,7.500,
2004-10,7.522,
2005-01,7.614,
2005-04,7.623,
2005-07,7.614,
2005-10,7.683,
2006-01,7.742,
2006-04,7.801,
2006-07,7.867,
2006-10,8.027,
2007-01,8.039,
2007-04,8.094,
2007-07,8.128,
2007-10,8.514,
2008-01,8.272,
2008-04,8.298,
2008-07,8.346,
2008-10,8.488,
2009-01,8.550,
2009-04,8.571,
2009-07,8.572,
2009-10,8.705,
2010-01,8.778,
2010-04,8.760,
2010-07,8.995,
2010-10,9.161,
2011-01,9.234,
2011-04,9.293,
2011-07,9.412,
2011-10,9.510,
2012-01,9.555,
2012-04,9.715,
2012-07,9.708,
2012-10,9.831,
2013-01,9.917,
2013-04,9.899,
2013-07,9.893,
2013-10,9.988,
2014-01,10.184,
2014-04,10.789,
2014-07,10.979,
