"",BBK01.OELB06I,BBK01.OELB06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:29,
2002-01,2.015,
2002-04,2.047,
2002-07,2.445,
2002-10,1.838,
2003-01,2.005,
2003-04,2.060,
2003-07,1.934,
2003-10,1.703,
2004-01,1.728,
2004-04,1.959,
2004-07,1.709,
2004-10,1.570,
2005-01,1.583,
2005-04,1.525,
2005-07,1.595,
2005-10,1.618,
2006-01,1.435,
2006-04,1.235,
2006-07,1.113,
2006-10,0.974,
2007-01,1.009,
2007-04,0.956,
2007-07,0.924,
2007-10,0.896,
2008-01,0.881,
2008-04,0.841,
2008-07,0.868,
2008-10,0.838,
2009-01,0.859,
2009-04,0.830,
2009-07,0.826,
2009-10,0.742,
2010-01,0.760,
2010-04,0.729,
2010-07,0.745,
2010-10,0.711,
2011-01,0.731,
2011-04,0.730,
2011-07,0.726,
2011-10,0.763,
2012-01,0.762,
2012-04,0.754,
2012-07,0.784,
2012-10,0.739,
2013-01,0.714,
2013-04,0.715,
2013-07,0.720,
2013-10,0.686,
2014-01,0.766,
2014-04,0.694,
2014-07,0.669,
