"",BBK01.OEAH64K,BBK01.OEAH64K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:51,
2002-01,1.242,
2002-04,1.227,
2002-07,1.187,
2002-10,1.136,
2003-01,1.049,
2003-04,0.972,
2003-07,0.908,
2003-10,0.851,
2004-01,0.810,
2004-04,0.761,
2004-07,0.708,
2004-10,0.668,
2005-01,0.627,
2005-04,0.567,
2005-07,0.530,
2005-10,0.499,
2006-01,0.486,
2006-04,0.412,
2006-07,0.421,
2006-10,0.465,
2007-01,0.479,
2007-04,0.489,
2007-07,0.491,
2007-10,0.550,
2008-01,0.610,
2008-04,0.655,
2008-07,0.712,
2008-10,0.779,
2009-01,0.849,
2009-04,0.761,
2009-07,0.678,
2009-10,0.623,
2010-01,0.579,
2010-04,0.674,
2010-07,0.689,
2010-10,0.728,
2011-01,0.757,
2011-04,0.868,
2011-07,0.925,
2011-10,0.945,
2012-01,0.922,
2012-04,0.930,
2012-07,0.943,
2012-10,0.962,
2013-01,0.877,
2013-04,0.757,
2013-07,0.704,
2013-10,0.693,
2014-01,0.693,
2014-04,0.712,
2014-07,0.681,
