"",BBK01.OEAH65V,BBK01.OEAH65V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:08,
2002-01,0.771,
2002-04,0.763,
2002-07,0.736,
2002-10,0.707,
2003-01,0.680,
2003-04,0.616,
2003-07,0.582,
2003-10,0.563,
2004-01,0.517,
2004-04,0.459,
2004-07,0.415,
2004-10,0.365,
2005-01,0.347,
2005-04,0.332,
2005-07,0.321,
2005-10,0.375,
2006-01,0.424,
2006-04,0.466,
2006-07,0.522,
2006-10,0.620,
2007-01,0.733,
2007-04,0.869,
2007-07,0.947,
2007-10,1.072,
2008-01,1.216,
2008-04,1.386,
2008-07,1.551,
2008-10,1.697,
2009-01,1.512,
2009-04,1.190,
2009-07,0.909,
2009-10,0.667,
2010-01,0.508,
2010-04,0.441,
2010-07,0.385,
2010-10,0.364,
2011-01,0.398,
2011-04,0.416,
2011-07,0.429,
2011-10,0.437,
2012-01,0.406,
2012-04,0.380,
2012-07,0.321,
2012-10,0.328,
2013-01,0.291,
2013-04,0.287,
2013-07,0.283,
2013-10,0.295,
2014-01,0.303,
2014-04,0.302,
2014-07,0.306,
