"",BBK01.OEYL09G,BBK01.OEYL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:45,
2002-01,0.863,
2002-04,0.874,
2002-07,0.852,
2002-10,0.868,
2003-01,0.847,
2003-04,0.837,
2003-07,0.802,
2003-10,0.684,
2004-01,0.599,
2004-04,0.546,
2004-07,0.504,
2004-10,0.543,
2005-01,0.513,
2005-04,0.489,
2005-07,0.591,
2005-10,0.557,
2006-01,0.489,
2006-04,0.414,
2006-07,0.375,
2006-10,0.356,
2007-01,0.334,
2007-04,0.320,
2007-07,0.307,
2007-10,0.283,
2008-01,0.247,
2008-04,0.223,
2008-07,0.207,
2008-10,0.140,
2009-01,0.127,
2009-04,0.141,
2009-07,0.218,
2009-10,0.754,
2010-01,0.862,
2010-04,0.886,
2010-07,0.897,
2010-10,0.938,
2011-01,1.034,
2011-04,0.916,
2011-07,0.884,
2011-10,0.877,
2012-01,1.153,
2012-04,1.275,
2012-07,1.287,
2012-10,1.350,
2013-01,1.229,
2013-04,1.200,
2013-07,1.163,
2013-10,0.959,
2014-01,0.799,
2014-04,0.743,
2014-07,0.705,
