"",BBK01.OEAH24I,BBK01.OEAH24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:28,
2002-01,0.980,
2002-04,0.980,
2002-07,0.972,
2002-10,0.965,
2003-01,0.928,
2003-04,1.112,
2003-07,0.897,
2003-10,0.877,
2004-01,0.856,
2004-04,0.855,
2004-07,0.842,
2004-10,0.822,
2005-01,0.799,
2005-04,0.777,
2005-07,0.759,
2005-10,0.730,
2006-01,0.683,
2006-04,0.659,
2006-07,0.636,
2006-10,0.605,
2007-01,0.949,
2007-04,1.022,
2007-07,1.033,
2007-10,1.608,
2008-01,1.704,
2008-04,1.827,
2008-07,1.905,
2008-10,1.930,
2009-01,2.183,
2009-04,2.224,
2009-07,2.242,
2009-10,2.495,
2010-01,2.931,
2010-04,3.353,
2010-07,3.428,
2010-10,0.904,
2011-01,0.904,
2011-04,0.997,
2011-07,1.047,
2011-10,1.043,
2012-01,1.063,
2012-04,1.074,
2012-07,1.078,
2012-10,0.996,
2013-01,0.868,
2013-04,0.730,
2013-07,0.749,
2013-10,0.752,
2014-01,0.863,
2014-04,0.865,
2014-07,1.010,
