"",BBFN1.M.DE.N.1.A.KR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"","Short-term claims of enterprises on non-residents arising from financial operations / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:24,
1975-12,0.001,
1976-01,0.002,
1976-02,0.001,
1976-03,0.001,
1976-04,0.001,
1976-05,0.002,
1976-06,0.001,
1976-07,0.001,
1976-08,0.002,
1976-09,0.002,
1976-10,0.002,
1976-11,0.002,
1976-12,0.002,
1977-01,0.003,
1977-02,0.003,
1977-03,0.004,
1977-04,0.004,
1977-05,0.004,
1977-06,0.004,
1977-07,0.003,
1977-08,0.004,
1977-09,0.004,
1977-10,0.004,
1977-11,0.004,
1977-12,0.004,
1978-01,0.004,
1978-02,0.004,
1978-03,0.004,
1978-04,0.004,
1978-05,0.004,
1978-06,0.004,
1978-07,0.004,
1978-08,0.004,
1978-09,0.004,
1978-10,0.004,
1978-11,0.004,
1978-12,0.004,
1979-01,0.004,
1979-02,0.004,
1979-03,0.004,
1979-04,0.004,
1979-05,0.005,
1979-06,0.008,
1979-07,0.005,
1979-08,0.005,
1979-09,0.006,
1979-10,0.015,
1979-11,0.015,
1979-12,0.016,
1980-01,0.015,
1980-02,0.016,
1980-03,0.013,
1980-04,0.013,
1980-05,0.015,
1980-06,0.019,
1980-07,0.017,
1980-08,0.019,
1980-09,0.023,
1980-10,0.021,
1980-11,0.029,
1980-12,0.029,
1981-01,0.029,
1981-02,0.030,
1981-03,0.030,
1981-04,0.032,
1981-05,0.033,
1981-06,0.014,
1981-07,0.013,
1981-08,0.013,
1981-09,0.014,
1981-10,0.013,
1981-11,0.013,
1981-12,0.013,
1982-01,0.012,
1982-02,0.046,
1982-03,0.042,
1982-04,0.052,
1982-05,0.049,
1982-06,0.051,
1982-07,0.061,
1982-08,0.061,
1982-09,0.043,
1982-10,0.046,
1982-11,0.045,
1982-12,0.035,
1983-01,0.034,
1983-02,0.034,
1983-03,0.036,
1983-04,0.038,
1983-05,0.039,
1983-06,0.039,
1983-07,0.040,
1983-08,0.038,
1983-09,0.038,
1983-10,0.036,
1983-11,0.037,
1983-12,0.037,
1984-01,0.038,
1984-02,0.036,
1984-03,0.035,
1984-04,0.039,
1984-05,0.042,
1984-06,0.039,
1984-07,0.037,
1984-08,0.037,
1984-09,0.038,
1984-10,0.038,
1984-11,0.039,
1984-12,0.040,
1985-01,0.033,
1985-02,0.039,
1985-03,0.038,
1985-04,0.042,
1985-05,0.043,
1985-06,0.044,
1985-07,0.041,
1985-08,0.041,
1985-09,0.036,
1985-10,0.036,
1985-11,0.033,
1985-12,0.031,
1986-01,0.031,
1986-02,0.026,
1986-03,0.028,
1986-04,0.033,
1986-05,0.033,
1986-06,0.030,
1986-07,0.031,
1986-08,0.030,
1986-09,0.031,
1986-10,0.030,
1986-11,0.029,
1986-12,0.022,
1987-01,0.025,
1987-02,0.021,
1987-03,0.025,
1987-04,0.027,
