"",BBK01.OEBI05G,BBK01.OEBI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:38,
2002-01,21.485,
2002-04,21.674,
2002-07,21.662,
2002-10,21.825,
2003-01,21.355,
2003-04,21.120,
2003-07,21.190,
2003-10,20.750,
2004-01,20.416,
2004-04,20.080,
2004-07,19.699,
2004-10,19.699,
2005-01,8.832,
2005-04,8.852,
2005-07,3.150,
2005-10,3.857,
2006-01,3.754,
2006-04,3.657,
2006-07,3.713,
2006-10,3.423,
2007-01,4.265,
2007-04,4.971,
2007-07,5.264,
2007-10,5.662,
2008-01,5.813,
2008-04,5.919,
2008-07,6.159,
2008-10,6.571,
2009-01,7.382,
2009-04,8.196,
2009-07,8.058,
2009-10,8.267,
2010-01,10.280,
2010-04,10.134,
2010-07,10.138,
2010-10,9.973,
2011-01,10.099,
2011-04,10.331,
2011-07,11.905,
2011-10,12.352,
2012-01,12.400,
2012-04,12.564,
2012-07,12.376,
2012-10,12.300,
2013-01,11.791,
2013-04,11.713,
2013-07,11.977,
2013-10,12.709,
2014-01,12.483,
2014-04,12.338,
2014-07,12.046,
