"",BBK01.OEBK06H,BBK01.OEBK06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:23,
2002-01,0.049,
2002-04,0.053,
2002-07,0.055,
2002-10,0.053,
2003-01,0.049,
2003-04,0.048,
2003-07,0.045,
2003-10,0.043,
2004-01,0.045,
2004-04,0.036,
2004-07,0.036,
2004-10,0.035,
2005-01,0.038,
2005-04,0.039,
2005-07,0.037,
2005-10,0.037,
2006-01,0.038,
2006-04,0.040,
2006-07,0.045,
2006-10,0.047,
2007-01,0.049,
2007-04,0.050,
2007-07,0.047,
2007-10,0.056,
2008-01,0.073,
2008-04,0.083,
2008-07,0.089,
2008-10,0.116,
2009-01,0.133,
2009-04,0.115,
2009-07,0.102,
2009-10,0.092,
2010-01,0.087,
2010-04,0.100,
2010-07,0.110,
2010-10,0.116,
2011-01,0.122,
2011-04,0.147,
2011-07,0.154,
2011-10,0.154,
2012-01,0.151,
2012-04,0.153,
2012-07,0.145,
2012-10,0.126,
2013-01,0.109,
2013-04,0.091,
2013-07,0.089,
2013-10,0.086,
2014-01,0.079,
2014-04,0.042,
2014-07,0.042,
