"",BBK01.OEAN05T,BBK01.OEAN05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:18,
2002-01,3.106,
2002-04,2.978,
2002-07,2.988,
2002-10,3.026,
2003-01,3.034,
2003-04,2.956,
2003-07,2.739,
2003-10,2.741,
2004-01,2.689,
2004-04,2.643,
2004-07,2.576,
2004-10,2.558,
2005-01,2.506,
2005-04,2.438,
2005-07,2.449,
2005-10,2.417,
2006-01,2.393,
2006-04,2.336,
2006-07,2.251,
2006-10,2.194,
2007-01,2.148,
2007-04,2.064,
2007-07,1.993,
2007-10,1.979,
2008-01,1.943,
2008-04,1.882,
2008-07,1.844,
2008-10,1.822,
2009-01,1.904,
2009-04,1.994,
2009-07,2.130,
2009-10,2.240,
2010-01,2.228,
2010-04,2.248,
2010-07,2.273,
2010-10,2.300,
2011-01,2.223,
2011-04,2.248,
2011-07,2.258,
2011-10,2.258,
2012-01,2.198,
2012-04,2.223,
2012-07,2.278,
2012-10,2.538,
2013-01,2.626,
2013-04,2.472,
2013-07,2.519,
2013-10,2.617,
2014-01,2.711,
2014-04,2.761,
2014-07,2.786,
