"",BBK01.OEAC19G,BBK01.OEAC19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:38,
2002-01,2.396,
2002-04,2.432,
2002-07,2.357,
2002-10,2.144,
2003-01,2.140,
2003-04,2.078,
2003-07,2.000,
2003-10,1.798,
2004-01,1.862,
2004-04,1.850,
2004-07,1.799,
2004-10,1.593,
2005-01,1.797,
2005-04,1.696,
2005-07,1.614,
2005-10,1.468,
2006-01,1.632,
2006-04,1.580,
2006-07,1.502,
2006-10,1.279,
2007-01,1.378,
2007-04,1.421,
2007-07,1.392,
2007-10,1.270,
2008-01,1.541,
2008-04,1.447,
2008-07,1.445,
2008-10,1.440,
2009-01,2.359,
2009-04,2.519,
2009-07,2.372,
2009-10,2.149,
2010-01,2.887,
2010-04,2.795,
2010-07,2.634,
2010-10,2.249,
2011-01,2.418,
2011-04,2.454,
2011-07,2.443,
2011-10,2.166,
2012-01,2.343,
2012-04,2.404,
2012-07,2.379,
2012-10,2.240,
2013-01,2.344,
2013-04,2.352,
2013-07,2.485,
2013-10,2.052,
2014-01,2.220,
2014-04,2.216,
2014-07,2.248,
