"",BBK01.SU0524,BBK01.SU0524_FLAGS
"","Deposit rates of banks / Savings deposits with higher rates of return, with agreed notice of 3 months, without a duration of contract being agreed, EUR 10,000 and more but less than EUR 25,000 / Average interest rate",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:31,
1996-11,2.78,
1996-12,2.78,
1997-01,2.76,
1997-02,2.73,
1997-03,2.71,
1997-04,2.72,
1997-05,2.70,
1997-06,2.71,
1997-07,2.70,
1997-08,2.70,
1997-09,2.69,
1997-10,2.72,
1997-11,2.80,
1997-12,2.84,
1998-01,2.82,
1998-02,2.81,
1998-03,2.79,
1998-04,2.78,
1998-05,2.79,
1998-06,2.78,
1998-07,2.77,
1998-08,2.75,
1998-09,2.72,
1998-10,2.71,
1998-11,2.71,
1998-12,2.67,
1999-01,2.57,
1999-02,2.51,
1999-03,2.48,
1999-04,2.39,
1999-05,2.24,
1999-06,2.22,
1999-07,2.21,
1999-08,2.23,
1999-09,2.24,
1999-10,2.30,
1999-11,2.38,
1999-12,2.45,
2000-01,2.44,
2000-02,2.46,
2000-03,2.53,
2000-04,2.57,
2000-05,2.72,
2000-06,2.87,
2000-07,2.94,
2000-08,3.01,
2000-09,3.10,
2000-10,3.12,
2000-11,3.19,
2000-12,3.22,
2001-01,3.21,
2001-02,3.17,
2001-03,3.20,
2001-04,3.18,
2001-05,3.14,
2001-06,3.09,
2001-07,3.07,
2001-08,3.02,
2001-09,2.88,
2001-10,2.69,
2001-11,2.49,
2001-12,2.42,
2002-01,2.40,
2002-02,2.37,
2002-03,2.38,
2002-04,2.38,
2002-05,2.40,
2002-06,2.40,
2002-07,2.40,
2002-08,2.36,
2002-09,2.34,
2002-10,2.32,
2002-11,2.31,
2002-12,2.19,
2003-01,2.13,
2003-02,2.07,
2003-03,1.93,
2003-04,1.86,
2003-05,1.82,
2003-06,1.69,
"","General: Most frequently occuring interest rate for new business within the reporting period (the two middle weeks of a given month). The average rates are calculated as unweighted arithmetic means from the interest rates reported to be within the spread. The spread is ascertained by eliminating the reports in the top 5% and the bottom 5% of the interest rate range. Up to December 2001, deposits of DM 20,000 and more but less than DM 50,000.",
