"",BBFB1.Q.N.DE.AU.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:47,
1991-01,189.887,
1991-04,188.145,
1991-07,205.378,
1991-10,194.702,
1992-01,201.352,
1992-04,258.469,
1992-07,272.386,
1992-10,309.431,
1993-01,301.908,
1993-04,259.306,
1993-07,330.705,
1993-10,412.362,
1994-01,235.604,
1994-04,378.802,
1994-07,414.213,
1994-10,517.867,
1995-01,431.300,
1995-04,323.382,
1995-07,364.631,
1995-10,382.442,
1996-01,386.327,
1996-04,488.959,
1996-07,544.404,
1996-10,516.978,
1997-01,421.769,
1997-04,541.229,
1997-07,588.004,
1997-10,588.703,
1998-01,500.504,
1998-04,543.678,
1998-07,599.157,
1998-10,562.110,
1999-01,521.188,
1999-04,509.517,
1999-07,650.793,
1999-10,769.156,
2000-01,536.613,
2000-04,529.618,
2000-07,496.420,
2000-10,538.941,
2001-01,596.406,
2001-04,664.569,
2001-07,741.362,
2001-10,1125.845,
2002-01,524.156,
2002-04,493.928,
2002-07,805.391,
2002-10,739.259,
2003-01,663.695,
2003-04,736.166,
2003-07,955.225,
2003-10,874.008,
2004-01,735.487,
2004-04,979.541,
2004-07,1018.823,
2004-10,882.026,
2005-01,997.314,
2005-04,995.468,
2005-07,1128.602,
2005-10,997.379,
2006-01,904.000,
2006-04,989.051,
2006-07,1166.049,
2006-10,1286.898,
2007-01,995.110,
2007-04,1030.344,
2007-07,1324.559,
2007-10,1255.411,
2008-01,1415.636,
2008-04,1441.995,
2008-07,1312.165,
2008-10,1341.708,
2009-01,664.506,
2009-04,1064.875,
2009-07,1309.786,
2009-10,1377.249,
2010-01,1469.390,
2010-04,1462.555,
2010-07,1606.465,
2010-10,1499.092,
2011-01,1358.803,
2011-04,1561.279,
2011-07,1486.586,
2011-10,1395.690,
2012-01,1609.149,
2012-04,1597.617,
2012-07,1824.121,
2012-10,2327.216,
2013-01,1553.927,
2013-04,1540.105,
2013-07,1858.885,
2013-10,1759.209,
2014-01,1460.161,Provisional value
2014-04,1698.238,Provisional value
2014-07,1781.802,Provisional value
