"",BBK01.OEAD36Q,BBK01.OEAD36Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:27,
2002-01,0.399,
2002-04,0.399,
2002-07,0.391,
2002-10,0.457,
2003-01,0.466,
2003-04,0.485,
2003-07,0.499,
2003-10,0.488,
2004-01,0.488,
2004-04,0.419,
2004-07,0.399,
2004-10,0.384,
2005-01,0.380,
2005-04,0.378,
2005-07,0.392,
2005-10,0.414,
2006-01,0.424,
2006-04,0.399,
2006-07,0.459,
2006-10,0.444,
2007-01,0.663,
2007-04,0.644,
2007-07,0.685,
2007-10,0.647,
2008-01,0.304,
2008-04,0.319,
2008-07,0.360,
2008-10,0.380,
2009-01,0.406,
2009-04,0.435,
2009-07,0.440,
2009-10,0.437,
2010-01,0.446,
2010-04,0.420,
2010-07,0.284,
2010-10,0.263,
2011-01,0.252,
2011-04,0.248,
2011-07,0.243,
2011-10,0.241,
2012-01,0.247,
2012-04,0.333,
2012-07,0.331,
2012-10,0.370,
2013-01,0.322,
2013-04,0.286,
2013-07,0.281,
2013-10,0.294,
2014-01,0.290,
2014-04,0.289,
2014-07,0.275,
