"",BBK01.OEHL02T,BBK01.OEHL02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:38,
2002-01,3.547,
2002-04,3.548,
2002-07,3.605,
2002-10,3.685,
2003-01,3.671,
2003-04,3.634,
2003-07,3.608,
2003-10,3.632,
2004-01,3.661,
2004-04,3.598,
2004-07,3.570,
2004-10,3.631,
2005-01,3.586,
2005-04,3.551,
2005-07,3.515,
2005-10,3.585,
2006-01,3.546,
2006-04,3.515,
2006-07,3.509,
2006-10,3.520,
2007-01,3.499,
2007-04,3.515,
2007-07,3.546,
2007-10,3.574,
2008-01,3.485,
2008-04,3.511,
2008-07,3.503,
2008-10,3.623,
2009-01,3.770,
2009-04,3.973,
2009-07,4.151,
2009-10,4.362,
2010-01,4.428,
2010-04,4.531,
2010-07,4.556,
2010-10,4.671,
2011-01,4.621,
2011-04,4.644,
2011-07,4.658,
2011-10,4.737,
2012-01,4.782,
2012-04,4.861,
2012-07,4.953,
2012-10,5.079,
2013-01,5.159,
2013-04,5.290,
2013-07,5.357,
2013-10,5.484,
2014-01,5.594,
2014-04,5.690,
2014-07,5.787,
