"",BBSF2.M.1.S.00000.DAC01.A.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.A.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net sales receipts / Not defined / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:23,
1999-01,5,
1999-02,-,Nothing exists
1999-03,2,
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,4,
1999-07,-,Nothing exists
1999-08,2,
1999-09,2,
1999-10,-,Nothing exists
1999-11,14,
1999-12,114,
2000-01,22,
2000-02,31,
2000-03,20,
2000-04,21,
2000-05,7,
2000-06,6,
2000-07,36,
2000-08,82,
2000-09,31,
2000-10,26,
2000-11,17,
2000-12,48,
2001-01,58,
2001-02,57,
2001-03,-100,
2001-04,26,
2001-05,10,
2001-06,21,
2001-07,26,
2001-08,36,
2001-09,36,
2001-10,-47,
2001-11,23,
2001-12,21,
2002-01,-12,
2002-02,42,
2002-03,3,
2002-04,54,
2002-05,28,
2002-06,12,
2002-07,12,
2002-08,2,
2002-09,-2,
2002-10,23,
2002-11,-8,
2002-12,13,
2003-01,-2,
2003-02,138,
2003-03,-8,
2003-04,3,
2003-05,42,
2003-06,41,
2003-07,59,
2003-08,5,
2003-09,29,
2003-10,85,
2003-11,-13,
2003-12,46,
2004-01,26,
2004-02,15,
2004-03,16,
2004-04,12,
2004-05,2,
2004-06,1,
2004-07,-11,
2004-08,-22,
2004-09,-36,
2004-10,5,
2004-11,84,
2004-12,65,
2005-01,143,
2005-02,40,
2005-03,34,
2005-04,8,
2005-05,-16,
2005-06,-12,
2005-07,16,
2005-08,-4,
2005-09,118,
2005-10,0,
2005-11,97,
2005-12,43,
2006-01,195,
2006-02,12,
2006-03,273,
2006-04,27,
2006-05,125,
2006-06,3,
2006-07,97,
2006-08,58,
2006-09,16,
2006-10,16,
2006-11,64,
2006-12,15,
2007-01,40,
2007-02,17,
2007-03,81,
2007-04,27,
2007-05,49,
2007-06,-48,
2007-07,88,
2007-08,-75,
2007-09,18,
2007-10,29,
2007-11,-43,
2007-12,101,
2008-01,-80,
2008-02,34,
2008-03,12,
2008-04,38,
2008-05,-27,
2008-06,-4,
2008-07,-78,
2008-08,-49,
2008-09,-3,
2008-10,3373,
2008-11,5854,
2008-12,97,
2009-01,18,
2009-02,20,
2009-03,1113,
2009-04,742,
2009-05,990,
2009-06,96,
2009-07,1208,
2009-08,133,
2009-09,2670,
2009-10,585,
2009-11,239,
2009-12,628,
2010-01,148,
2010-02,333,
2010-03,316,
2010-04,308,
2010-05,47,
2010-06,45,
2010-07,291,
2010-08,3687,
2010-09,359,
2010-10,351,
2010-11,365,
2010-12,1084,
2011-01,142,
2011-02,105,
2011-03,280,
2011-04,179,
2011-05,329,
2011-06,311,
2011-07,315,
2011-08,207,
2011-09,691,
2011-10,486,
2011-11,190,
2011-12,1070,
2012-01,208,
2012-02,75,
2012-03,256,
2012-04,150,
2012-05,21,
2012-06,561,
2012-07,8970,
2012-08,-336,
2012-09,27,
2012-10,708,
2012-11,62,
2012-12,997,
2013-01,884,
2013-02,130,
2013-03,134,
2013-04,537,
2013-05,15,
2013-06,-7,
2013-07,-178,
2013-08,-178,
2013-09,213,
2013-10,191,
2013-11,221,
2013-12,1384,
2014-01,41,
2014-02,247,
2014-03,454,
2014-04,232,
2014-05,95,
2014-06,542,
2014-07,511,
2014-08,454,
2014-09,336,
2014-10,120,
2014-11,646,
