"",BBK01.CEFK05,BBK01.CEFK05_FLAGS
"",Other equity                                            debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:45,
1999-01,28.6,
1999-04,30.2,
1999-07,31.8,
1999-10,33.4,
2000-01,35.6,
2000-04,38.0,
2000-07,40.2,
2000-10,42.5,
2001-01,47.6,
2001-04,52.6,
2001-07,57.3,
2001-10,62.4,
2002-01,63.0,
2002-04,63.5,
2002-07,64.0,
2002-10,64.5,
2003-01,67.1,
2003-04,69.7,
2003-07,72.3,
2003-10,74.9,
2004-01,77.6,
2004-04,80.3,
2004-07,83.0,
2004-10,85.6,
2005-01,91.6,
2005-04,97.6,
2005-07,103.7,
2005-10,109.7,
2006-01,117.7,
2006-04,125.7,
2006-07,133.8,
2006-10,141.8,
2007-01,150.5,
2007-04,159.1,
2007-07,167.7,
2007-10,176.4,
2008-01,178.1,
2008-04,179.7,
2008-07,181.3,
2008-10,183.0,
2009-01,178.9,
2009-04,174.8,
2009-07,170.7,
2009-10,166.6,
2010-01,161.9,
2010-04,157.2,
2010-07,152.5,
2010-10,147.8,
2011-01,148.9,
2011-04,150.0,
2011-07,151.2,
2011-10,152.3,
2012-01,157.8,
2012-04,163.2,
2012-07,168.7,
2012-10,174.0,
2013-01,179.2,
2013-04,176.4,
2013-07,177.0,
2013-10,177.9,
2014-01,181.3,
2014-04,179.9,
2014-07,181.9,
