"",BBK01.OEAH79O,BBK01.OEAH79O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:17,
2002-01,0.020,
2002-04,0.025,
2002-07,0.025,
2002-10,0.010,
2003-01,0.007,
2003-04,0.018,
2003-07,0.020,
2003-10,0.017,
2004-01,0.011,
2004-04,0.009,
2004-07,0.008,
2004-10,0.008,
2005-01,0.014,
2005-04,0.009,
2005-07,0.010,
2005-10,0.013,
2006-01,0.015,
2006-04,0.024,
2006-07,0.029,
2006-10,0.028,
2007-01,0.027,
2007-04,0.033,
2007-07,0.036,
2007-10,0.034,
2008-01,0.039,
2008-04,0.038,
2008-07,0.041,
2008-10,0.049,
2009-01,0.051,
2009-04,0.032,
2009-07,0.042,
2009-10,0.039,
2010-01,0.024,
2010-04,0.031,
2010-07,0.041,
2010-10,0.055,
2011-01,0.049,
2011-04,0.055,
2011-07,0.042,
2011-10,0.029,
2012-01,0.032,
2012-04,0.033,
2012-07,0.033,
2012-10,0.292,
2013-01,0.040,
2013-04,0.040,
2013-07,0.033,
2013-10,0.227,
2014-01,0.017,
2014-04,0.015,
2014-07,0.014,
