"",BBK01.OEHB06S,BBK01.OEHB06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:11,
2002-01,0.892,
2002-04,0.871,
2002-07,0.928,
2002-10,0.951,
2003-01,0.834,
2003-04,0.831,
2003-07,0.844,
2003-10,0.927,
2004-01,0.845,
2004-04,0.863,
2004-07,0.923,
2004-10,0.964,
2005-01,0.982,
2005-04,0.859,
2005-07,0.916,
2005-10,0.875,
2006-01,0.894,
2006-04,0.915,
2006-07,0.903,
2006-10,0.870,
2007-01,0.984,
2007-04,0.944,
2007-07,0.814,
2007-10,0.837,
2008-01,0.857,
2008-04,0.806,
2008-07,0.749,
2008-10,0.743,
2009-01,0.752,
2009-04,0.769,
2009-07,0.800,
2009-10,0.670,
2010-01,0.704,
2010-04,0.722,
2010-07,0.798,
2010-10,0.693,
2011-01,0.734,
2011-04,0.731,
2011-07,0.725,
2011-10,0.720,
2012-01,0.719,
2012-04,0.698,
2012-07,0.637,
2012-10,0.594,
2013-01,0.605,
2013-04,0.591,
2013-07,0.565,
2013-10,0.569,
2014-01,0.541,
2014-04,0.567,
2014-07,0.569,
