"",BBK01.OEBL09T,BBK01.OEBL09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:09,
2002-01,0.336,
2002-04,0.325,
2002-07,0.344,
2002-10,0.327,
2003-01,0.292,
2003-04,0.262,
2003-07,0.240,
2003-10,0.228,
2004-01,0.211,
2004-04,0.196,
2004-07,0.184,
2004-10,0.177,
2005-01,0.184,
2005-04,0.172,
2005-07,0.147,
2005-10,0.143,
2006-01,0.143,
2006-04,0.154,
2006-07,0.156,
2006-10,0.174,
2007-01,0.269,
2007-04,0.303,
2007-07,0.334,
2007-10,0.394,
2008-01,0.424,
2008-04,0.442,
2008-07,0.472,
2008-10,0.616,
2009-01,0.584,
2009-04,0.556,
2009-07,0.551,
2009-10,0.463,
2010-01,0.394,
2010-04,0.379,
2010-07,0.371,
2010-10,0.443,
2011-01,0.508,
2011-04,0.526,
2011-07,0.533,
2011-10,0.525,
2012-01,0.501,
2012-04,0.495,
2012-07,0.469,
2012-10,0.408,
2013-01,0.350,
2013-04,0.309,
2013-07,0.292,
2013-10,0.275,
2014-01,0.260,
2014-04,0.251,
2014-07,0.293,
