"",BBK01.OEHL09V,BBK01.OEHL09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:30,
2002-01,3.183,
2002-04,3.138,
2002-07,3.148,
2002-10,3.192,
2003-01,3.081,
2003-04,2.798,
2003-07,2.609,
2003-10,2.613,
2004-01,2.430,
2004-04,2.203,
2004-07,2.233,
2004-10,2.450,
2005-01,2.626,
2005-04,2.696,
2005-07,2.624,
2005-10,2.626,
2006-01,2.594,
2006-04,2.711,
2006-07,2.811,
2006-10,3.030,
2007-01,3.084,
2007-04,3.051,
2007-07,3.257,
2007-10,3.364,
2008-01,3.217,
2008-04,3.064,
2008-07,2.987,
2008-10,3.074,
2009-01,3.017,
2009-04,3.009,
2009-07,2.820,
2009-10,2.871,
2010-01,2.824,
2010-04,2.715,
2010-07,2.474,
2010-10,2.228,
2011-01,2.201,
2011-04,2.077,
2011-07,1.935,
2011-10,1.841,
2012-01,1.748,
2012-04,1.609,
2012-07,1.498,
2012-10,1.386,
2013-01,1.248,
2013-04,1.085,
2013-07,0.989,
2013-10,0.962,
2014-01,0.927,
2014-04,0.926,
2014-07,0.912,
