"",BBK01.OEAE21T,BBK01.OEAE21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:10,
2002-01,0.011,
2002-04,0.010,
2002-07,0.011,
2002-10,0.010,
2003-01,0.006,
2003-04,0.006,
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,0.025,
2004-04,0.026,
2004-07,0.028,
2004-10,0.027,
2005-01,0.026,
2005-04,0.024,
2005-07,0.025,
2005-10,0.025,
2006-01,0.024,
2006-04,0.024,
2006-07,0.025,
2006-10,0.027,
2007-01,0.027,
2007-04,0.003,
2007-07,0.003,
2007-10,0.002,
2008-01,0.002,
2008-04,0.002,
2008-07,0.002,
2008-10,0.001,
2009-01,0.001,
2009-04,0.001,
2009-07,0.005,
2009-10,0.005,
2010-01,0.005,
2010-04,0.007,
2010-07,0.027,
2010-10,0.024,
2011-01,0.029,
2011-04,0.030,
2011-07,0.031,
2011-10,0.037,
2012-01,0.038,
2012-04,0.046,
2012-07,0.046,
2012-10,0.043,
2013-01,0.044,
2013-04,0.044,
2013-07,0.046,
2013-10,0.046,
2014-01,0.039,
2014-04,0.040,
2014-07,0.040,
