"",BBK01.OEAD22M,BBK01.OEAD22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:15,
2002-01,0.044,
2002-04,0.053,
2002-07,0.054,
2002-10,0.051,
2003-01,0.046,
2003-04,0.044,
2003-07,0.058,
2003-10,0.056,
2004-01,0.071,
2004-04,0.063,
2004-07,0.049,
2004-10,0.042,
2005-01,0.041,
2005-04,0.037,
2005-07,0.038,
2005-10,0.042,
2006-01,0.039,
2006-04,0.042,
2006-07,0.044,
2006-10,0.032,
2007-01,0.029,
2007-04,0.029,
2007-07,0.030,
2007-10,0.029,
2008-01,0.025,
2008-04,0.030,
2008-07,0.030,
2008-10,0.026,
2009-01,0.030,
2009-04,0.039,
2009-07,0.046,
2009-10,0.051,
2010-01,0.089,
2010-04,0.109,
2010-07,0.139,
2010-10,0.083,
2011-01,0.084,
2011-04,0.097,
2011-07,0.094,
2011-10,0.158,
2012-01,0.134,
2012-04,0.176,
2012-07,0.133,
2012-10,0.128,
2013-01,0.107,
2013-04,0.106,
2013-07,0.103,
2013-10,0.112,
2014-01,0.120,
2014-04,0.114,
2014-07,0.147,
