"",BBK01.OEBB15L,BBK01.OEBB15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:20,
2002-01,0.706,
2002-04,0.655,
2002-07,0.648,
2002-10,0.656,
2003-01,1.038,
2003-04,1.111,
2003-07,1.162,
2003-10,1.128,
2004-01,1.115,
2004-04,1.146,
2004-07,1.068,
2004-10,1.026,
2005-01,1.272,
2005-04,1.182,
2005-07,1.128,
2005-10,1.033,
2006-01,1.035,
2006-04,1.041,
2006-07,0.947,
2006-10,0.949,
2007-01,0.953,
2007-04,0.988,
2007-07,1.003,
2007-10,0.923,
2008-01,0.956,
2008-04,0.972,
2008-07,0.976,
2008-10,0.923,
2009-01,1.127,
2009-04,1.111,
2009-07,1.101,
2009-10,1.070,
2010-01,1.047,
2010-04,1.074,
2010-07,1.128,
2010-10,1.127,
2011-01,1.144,
2011-04,1.101,
2011-07,1.117,
2011-10,1.110,
2012-01,1.110,
2012-04,1.120,
2012-07,1.110,
2012-10,1.042,
2013-01,1.024,
2013-04,1.010,
2013-07,1.007,
2013-10,0.993,
2014-01,0.937,
2014-04,0.890,
2014-07,0.980,
