"",BBFN1.M.DE.N.1.A.A1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.A1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:15,
1995-01,0.129,
1995-02,0.123,
1995-03,0.127,
1995-04,0.126,
1995-05,0.129,
1995-06,0.151,
1995-07,0.268,
1995-08,0.250,
1995-09,0.238,
1995-10,0.259,
1995-11,0.239,
1995-12,0.226,
1996-01,0.217,
1996-02,0.205,
1996-03,0.205,
1996-04,0.207,
1996-05,0.189,
1996-06,0.137,
1996-07,0.132,
1996-08,0.117,
1996-09,0.128,
1996-10,0.126,
1996-11,0.123,
1996-12,0.083,
1997-01,0.086,
1997-02,0.086,
1997-03,0.086,
1997-04,0.087,
1997-05,0.080,
1997-06,0.067,
1997-07,0.081,
1997-08,0.080,
1997-09,0.107,
1997-10,0.123,
1997-11,0.117,
1997-12,0.123,
1998-01,0.132,
1998-02,0.133,
1998-03,0.130,
1998-04,0.134,
1998-05,0.133,
1998-06,0.133,
1998-07,0.133,
1998-08,0.137,
1998-09,0.133,
1998-10,0.131,
1998-11,0.130,
1998-12,0.123,
1999-01,0.125,
1999-02,0.124,
1999-03,0.121,
1999-04,0.125,
1999-05,0.124,
1999-06,0.126,
1999-07,0.120,
1999-08,0.121,
1999-09,0.133,
1999-10,0.145,
1999-11,0.146,
1999-12,0.156,
2000-01,0.158,
2000-02,0.166,
2000-03,0.164,
2000-04,0.165,
2000-05,0.163,
2000-06,0.160,
2000-07,0.165,
2000-08,0.167,
2000-09,0.158,
2000-10,0.161,
2000-11,0.158,
2000-12,0.163,
2001-01,0.163,
2001-02,0.165,
2001-03,0.163,
2001-04,0.170,
2001-05,0.164,
2001-06,0.186,
2001-07,0.182,
2001-08,0.182,
2001-09,0.184,
2001-10,0.181,
2001-11,0.178,
2001-12,0.194,
2002-01,0.195,
2002-02,0.197,
2002-03,0.193,
2002-04,0.214,
2002-05,0.214,
2002-06,0.193,
2002-07,0.195,
2002-08,0.194,
2002-09,0.188,
2002-10,0.188,
2002-11,0.185,
2002-12,0.180,
2003-01,0.173,
2003-02,0.187,
2003-03,0.179,
2003-04,0.178,
2003-05,0.175,
2003-06,0.181,
2003-07,0.188,
2003-08,0.191,
2003-09,0.194,
2003-10,0.213,
2003-11,0.209,
2003-12,0.228,
2004-01,0.237,
2004-02,0.237,
2004-03,0.243,
2004-04,0.237,
2004-05,0.229,
2004-06,0.247,
2004-07,0.248,
2004-08,0.248,
2004-09,0.234,
2004-10,0.250,
2004-11,0.253,
2004-12,0.244,
2005-01,0.245,
2005-02,0.244,
2005-03,0.217,
2005-04,0.200,
2005-05,0.202,
2005-06,0.232,
2005-07,0.233,
2005-08,0.243,
2005-09,0.237,
2005-10,0.242,
2005-11,0.242,
2005-12,0.248,
2006-01,0.251,
2006-02,0.255,
2006-03,0.311,
2006-04,0.317,
2006-05,0.318,
2006-06,0.305,
2006-07,0.305,
2006-08,0.305,
2006-09,0.289,
2006-10,0.295,
2006-11,0.290,
2006-12,0.431,
2007-01,0.439,
2007-02,0.437,
2007-03,0.411,
2007-04,0.416,
2007-05,0.454,
2007-06,0.465,
2007-07,0.459,
2007-08,1.199,
2007-09,0.807,
2007-10,0.907,
2007-11,0.953,
2007-12,1.389,
2008-01,1.407,
2008-02,1.422,
2008-03,1.463,
2008-04,1.428,
2008-05,1.428,
2008-06,1.531,
2008-07,1.410,
2008-08,1.421,
2008-09,1.422,
2008-10,1.429,
2008-11,1.580,
2008-12,1.558,
2009-01,1.568,
2009-02,1.558,
2009-03,1.554,
2009-04,1.576,
2009-05,1.587,
2009-06,1.574,
2009-07,1.575,
2009-08,1.617,
2009-09,1.589,
2009-10,1.590,
2009-11,1.747,
2009-12,1.411,
2010-01,1.403,
2010-02,1.408,
2010-03,1.404,
2010-04,1.403,
2010-05,1.407,
2010-06,1.443,
2010-07,1.495,
2010-08,1.526,
2010-09,1.511,
2010-10,1.512,
2010-11,1.515,
2010-12,1.313,
2011-01,1.346,
2011-02,1.315,
2011-03,1.301,
2011-04,1.125,
2011-05,1.289,
2011-06,1.284,
2011-07,1.299,
2011-08,1.299,
2011-09,1.299,
2011-10,1.296,
2011-11,1.309,
2011-12,1.117,
2012-01,1.139,
2012-02,1.122,
2012-03,1.229,
2012-04,1.130,
2012-05,1.138,
2012-06,1.141,
2012-07,1.147,
2012-08,1.144,
2012-09,1.138,
2012-10,1.101,
2012-11,1.052,
2012-12,1.089,
2013-01,1.082,
2013-02,1.039,
2013-03,1.073,
2013-04,1.060,
2013-05,1.109,
2013-06,1.152,
2013-07,1.190,
2013-08,1.159,
2013-09,1.659,
2013-10,1.613,
2013-11,1.649,
2013-12,1.758,
2014-01,1.749,
2014-02,1.945,
2014-03,1.985,
2014-04,2.179,
2014-05,2.231,
2014-06,2.256,
2014-07,2.272,
2014-08,2.273,
2014-09,2.283,
2014-10,2.275,
2014-11,2.272,
2014-12,2.235,
"",General: Up to December including Niederl.Antillen,
