"",BBK01.OEHI09O,BBK01.OEHI09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:17,
2002-01,3.614,
2002-04,3.354,
2002-07,3.229,
2002-10,3.241,
2003-01,3.135,
2003-04,3.035,
2003-07,2.975,
2003-10,3.035,
2004-01,3.120,
2004-04,3.010,
2004-07,3.017,
2004-10,3.157,
2005-01,3.154,
2005-04,3.169,
2005-07,2.721,
2005-10,2.948,
2006-01,3.122,
2006-04,3.238,
2006-07,3.256,
2006-10,3.367,
2007-01,3.260,
2007-04,3.001,
2007-07,2.738,
2007-10,2.626,
2008-01,2.308,
2008-04,2.023,
2008-07,1.867,
2008-10,1.859,
2009-01,2.194,
2009-04,2.678,
2009-07,3.183,
2009-10,3.838,
2010-01,4.054,
2010-04,3.867,
2010-07,3.660,
2010-10,3.430,
2011-01,3.235,
2011-04,3.063,
2011-07,2.969,
2011-10,2.856,
2012-01,2.782,
2012-04,2.706,
2012-07,2.701,
2012-10,2.799,
2013-01,2.812,
2013-04,2.761,
2013-07,2.667,
2013-10,2.683,
2014-01,2.671,
2014-04,2.631,
2014-07,2.633,
