"",BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:45,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-74.690,
1993-04,0.026,
1993-07,-12.294,
1993-10,5.270,
1994-01,32.672,
1994-04,34.357,
1994-07,12.723,
1994-10,-11.155,
1995-01,11.583,
1995-04,-10.688,
1995-07,-12.829,
1995-10,-32.884,
1996-01,38.097,
1996-04,38.563,
1996-07,13.011,
1996-10,78.805,
1997-01,57.590,
1997-04,102.000,
1997-07,31.495,
1997-10,28.778,
1998-01,51.752,
1998-04,94.814,
1998-07,-19.871,
1998-10,10.419,
1999-01,42.918,
1999-04,93.600,
1999-07,-9.915,
1999-10,35.059,
2000-01,-13.122,
2000-04,19.823,
2000-07,56.645,
2000-10,-0.387,
2001-01,-5.295,
2001-04,31.003,
2001-07,0.848,
2001-10,-48.699,
2002-01,-7.489,
2002-04,13.876,
2002-07,71.695,
2002-10,-78.284,
2003-01,86.441,
2003-04,149.159,
2003-07,-44.955,
2003-10,43.260,
2004-01,-31.128,
2004-04,597.752,
2004-07,158.755,
2004-10,-10.616,
2005-01,437.231,
2005-04,-154.789,
2005-07,44.953,
2005-10,153.189,
2006-01,-48.434,
2006-04,-55.981,
2006-07,-118.065,
2006-10,-121.384,
2007-01,72.662,
2007-04,75.003,
2007-07,9.593,
2007-10,290.086,
2008-01,-110.665,
2008-04,1185.495,
2008-07,86.231,
2008-10,-270.957,
2009-01,-55.113,
2009-04,289.025,
2009-07,-78.349,
2009-10,34.774,
2010-01,-6.309,
2010-04,408.570,
2010-07,344.387,
2010-10,336.536,
2011-01,-43.770,
2011-04,255.787,
2011-07,-99.076,
2011-10,-1.327,
2012-01,617.961,
2012-04,138.049,
2012-07,140.270,
2012-10,128.979,
2013-01,-191.572,
2013-04,413.350,
2013-07,-123.091,
2013-10,-82.788,
2014-01,-51.569,Provisional value
2014-04,-676.911,Provisional value
2014-07,-63.050,Provisional value
2014-10,-205.810,Provisional value
