"",BBK01.OEXJ03O,BBK01.OEXJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:38,
2002-01,-6.179,
2002-04,-6.155,
2002-07,-6.037,
2002-10,-6.073,
2003-01,-6.548,
2003-04,-7.059,
2003-07,-6.280,
2003-10,-6.320,
2004-01,-6.418,
2004-04,-6.959,
2004-07,-7.233,
2004-10,-7.024,
2005-01,0.394,
2005-04,0.337,
2005-07,0.378,
2005-10,0.354,
2006-01,0.307,
2006-04,0.269,
2006-07,0.505,
2006-10,0.572,
2007-01,0.493,
2007-04,0.566,
2007-07,0.616,
2007-10,0.676,
2008-01,0.676,
2008-04,0.637,
2008-07,0.690,
2008-10,0.693,
2009-01,1.035,
2009-04,1.048,
2009-07,0.988,
2009-10,1.066,
2010-01,0.618,
2010-04,0.728,
2010-07,0.630,
2010-10,0.627,
2011-01,0.455,
2011-04,0.443,
2011-07,0.429,
2011-10,0.467,
2012-01,0.427,
2012-04,0.447,
2012-07,0.479,
2012-10,0.544,
2013-01,0.507,
2013-04,0.672,
2013-07,0.634,
2013-10,0.626,
2014-01,0.593,
2014-04,0.607,
2014-07,0.615,
