"",BBK01.CEBD0X,BBK01.CEBD0X_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:13,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,13.2,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,12.1,
1993-01,0.0,
1993-04,8.0,
1993-07,9.1,
1993-10,9.3,
1994-01,9.2,
1994-04,10.6,
1994-07,11.2,
1994-10,10.4,
1995-01,12.4,
1995-04,12.4,
1995-07,12.2,
1995-10,11.2,
1996-01,14.5,
1996-04,14.4,
1996-07,15.4,
1996-10,14.4,
1997-01,16.9,
1997-04,17.4,
1997-07,19.6,
1997-10,22.8,
1998-01,22.9,
1998-04,23.8,
1998-07,29.9,
1998-10,33.0,
1999-01,25.8,
1999-04,29.1,
1999-07,31.2,
1999-10,30.6,
2000-01,37.2,
2000-04,37.1,
2000-07,35.5,
2000-10,38.2,
2001-01,42.6,
2001-04,41.6,
2001-07,47.6,
2001-10,44.9,
2002-01,42.7,
2002-04,49.6,
2002-07,50.9,
2002-10,46.9,
2003-01,54.1,
2003-04,59.2,
2003-07,59.5,
2003-10,50.9,
2004-01,57.8,
2004-04,54.7,
2004-07,55.8,
2004-10,43.6,
2005-01,60.1,
2005-04,59.7,
2005-07,67.3,
2005-10,54.2,
2006-01,67.6,
2006-04,73.9,
2006-07,69.1,
2006-10,63.0,
2007-01,75.0,
2007-04,78.0,
2007-07,90.0,
2007-10,68.3,
2008-01,90.5,
2008-04,96.0,
2008-07,86.7,
2008-10,80.8,
2009-01,97.7,
2009-04,74.6,
2009-07,64.4,
2009-10,53.0,
2010-01,54.8,
2010-04,71.4,
2010-07,61.4,
2010-10,52.5,
2011-01,67.0,
2011-04,68.7,
2011-07,81.8,
2011-10,71.1,
2012-01,78.3,
2012-04,90.0,
2012-07,86.7,
2012-10,77.9,
2013-01,92.1,
2013-04,101.2,
2013-07,80.3,
2013-10,77.3,
2014-01,82.1,
