"",BBK01.OEXL06I,BBK01.OEXL06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:20,
2002-01,0.607,
2002-04,0.608,
2002-07,0.605,
2002-10,0.612,
2003-01,0.592,
2003-04,0.579,
2003-07,0.538,
2003-10,0.524,
2004-01,0.535,
2004-04,0.532,
2004-07,0.517,
2004-10,0.483,
2005-01,0.491,
2005-04,0.477,
2005-07,0.471,
2005-10,0.451,
2006-01,0.442,
2006-04,0.444,
2006-07,0.461,
2006-10,0.452,
2007-01,0.448,
2007-04,0.457,
2007-07,0.465,
2007-10,0.516,
2008-01,0.564,
2008-04,0.627,
2008-07,0.669,
2008-10,0.777,
2009-01,0.841,
2009-04,0.741,
2009-07,0.651,
2009-10,0.553,
2010-01,0.587,
2010-04,0.722,
2010-07,0.791,
2010-10,0.873,
2011-01,0.926,
2011-04,0.993,
2011-07,1.029,
2011-10,1.009,
2012-01,0.959,
2012-04,0.974,
2012-07,0.961,
2012-10,0.909,
2013-01,0.801,
2013-04,0.671,
2013-07,0.647,
2013-10,0.624,
2014-01,0.602,
2014-04,0.559,
2014-07,0.515,
