"",BBEX3.D.ARS.EUR.CA.AA.000,BBEX3.D.ARS.EUR.CA.AA.000_FLAGS
"",Exchange rates for the euro in Argentina / EUR 1 = ARS ... (buying),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:38:24,
2002-02-11,1.6210,
2002-02-12,1.5387,
2002-02-13,1.3968,
2002-02-14,1.3968,
2002-02-15,1.6156,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,1.6536,
2002-02-19,1.7530,
2002-02-20,1.7406,
2002-02-21,1.6503,
2002-02-22,1.7080,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,1.7378,
2002-02-26,1.7274,
2002-02-27,1.7737,
2002-02-28,1.7802,
2002-03-01,1.7290,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,1.6959,
2002-03-05,1.6953,
2002-03-06,1.7972,
2002-03-07,1.8535,
2002-03-08,1.8754,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,1.9699,
2002-03-12,2.0141,
2002-03-13,1.9897,
2002-03-14,2.0116,
2002-03-15,2.0116,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,2.0107,
2002-03-19,2.0442,
2002-03-20,2.1058,
2002-03-21,2.0130,
2002-03-22,2.5071,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,2.6730,
2002-03-26,2.4548,
2002-03-27,2.5317,
2002-03-28,.,No value available
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,2.5037,
2002-04-03,2.5100,
2002-04-04,2.2642,
2002-04-05,2.3336,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,2.3161,
2002-04-09,2.3774,
2002-04-10,2.3779,
2002-04-11,2.4283,
2002-04-12,2.4620,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,2.5057,
2002-04-16,2.3846,
2002-04-17,2.4650,
2002-04-18,2.6267,
2002-04-19,2.7203,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,.,No value available
2002-04-23,.,No value available
2002-04-24,.,No value available
2002-04-25,.,No value available
2002-04-26,.,No value available
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,2.5741,
2002-04-30,2.5920,
2002-05-01,.,No value available
2002-05-02,2.7081,
2002-05-03,2.8424,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,2.8390,
2002-05-07,2.8331,
2002-05-08,2.8046,
2002-05-09,2.8054,
2002-05-10,2.8756,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,2.8697,
2002-05-14,2.8419,
2002-05-15,2.8615,
2002-05-16,2.8712,
2002-05-17,3.0400,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,3.1778,
2002-05-21,3.0830,
2002-05-22,3.1014,
2002-05-23,3.0446,
2002-05-24,3.0823,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,3.1311,
2002-05-28,3.1603,
2002-05-29,3.2708,
2002-05-30,3.2914,
2002-05-31,3.2554,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,3.3021,
2002-06-04,3.3176,
2002-06-05,3.3331,
2002-06-06,3.3544,
2002-06-07,3.3551,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,3.2021,
2002-06-11,3.2161,
2002-06-12,3.2116,
2002-06-13,3.2001,
2002-06-14,3.2850,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,.,No value available
2002-06-18,3.2761,
2002-06-19,3.3071,
2002-06-20,3.3836,
2002-06-21,3.5251,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,3.5922,
2002-06-25,3.6951,
2002-06-26,3.7009,
2002-06-27,3.6489,
2002-06-28,3.6637,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,3.6442,
2002-07-02,3.4829,
2002-07-03,3.4240,
2002-07-04,3.3930,
2002-07-05,3.4069,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,3.4058,
2002-07-09,.,No value available
2002-07-10,3.4195,
2002-07-11,3.4579,
2002-07-12,3.4626,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,3.5238,
2002-07-16,3.4926,
2002-07-17,3.4978,
2002-07-18,3.4835,
2002-07-19,3.5259,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,3.5397,
2002-07-23,3.5418,
2002-07-24,3.5248,
2002-07-25,3.5525,
2002-07-26,3.5212,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,3.4820,
2002-07-30,3.5195,
2002-07-31,3.5222,
2002-08-01,3.4514,
2002-08-02,3.4816,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,3.4773,
2002-08-06,3.4075,
2002-08-07,3.4494,
2002-08-08,3.4307,
2002-08-09,3.4313,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,3.4429,
2002-08-13,3.4619,
2002-08-14,3.4844,
2002-08-15,3.4830,
2002-08-16,3.4816,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,.,No value available
2002-08-20,3.4492,
2002-08-21,3.4150,
2002-08-22,3.3832,
2002-08-23,3.4197,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,3.4297,
2002-08-27,3.4577,
2002-08-28,3.4405,
2002-08-29,3.4651,
2002-08-30,3.4633,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,3.4746,
2002-09-03,3.5230,
2002-09-04,3.5205,
2002-09-05,3.5028,
2002-09-06,3.4718,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,3.4608,
2002-09-10,3.4400,
2002-09-11,3.4331,
2002-09-12,3.4605,
2002-09-13,3.4419,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,3.4456,
2002-09-17,3.4241,
2002-09-18,3.4701,
2002-09-19,3.5175,
2002-09-20,3.4884,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,3.4868,
2002-09-24,3.4857,
2002-09-25,3.4911,
2002-09-26,3.4904,
2002-09-27,3.5704,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,3.5923,
2002-10-01,3.5829,
2002-10-02,3.5945,
2002-10-03,3.6029,
2002-10-04,3.5715,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,3.5810,
2002-10-08,3.5556,
2002-10-09,3.5795,
2002-10-10,3.5503,
2002-10-11,3.5510,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,.,No value available
2002-10-15,3.4902,
2002-10-16,3.4349,
2002-10-17,3.3985,
2002-10-18,3.4283,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,3.4347,
2002-10-22,3.4464,
2002-10-23,3.4303,
2002-10-24,3.4258,
2002-10-25,3.4380,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,3.4412,
2002-10-29,3.4261,
2002-10-30,3.3907,
2002-10-31,3.3839,
2002-11-01,3.4290,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,3.4537,
2002-11-05,3.4397,
2002-11-06,.,No value available
2002-11-07,3.4991,
2002-11-08,3.5029,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,3.4974,
2002-11-12,3.4974,
2002-11-13,3.4530,
2002-11-14,3.4749,
2002-11-15,3.4686,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,3.4547,
2002-11-19,3.4350,
2002-11-20,3.4292,
2002-11-21,3.4052,
2002-11-22,3.3905,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,3.3759,
2002-11-26,3.3503,
2002-11-27,3.3691,
2002-11-28,3.4485,
2002-11-29,3.5170,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,3.4623,
2002-12-03,3.4280,
2002-12-04,3.4303,
2002-12-05,3.4266,
2002-12-06,3.4557,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,3.4581,
2002-12-10,3.4464,
2002-12-11,3.4376,
2002-12-12,3.4632,
2002-12-13,3.4881,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,3.5129,
2002-12-17,3.5298,
2002-12-18,3.4823,
2002-12-19,3.4462,
2002-12-20,3.4768,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,3.4526,
2002-12-24,.,No value available
2002-12-25,.,No value available
2002-12-26,3.4205,
2002-12-27,3.4327,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,3.4338,
2002-12-31,.,No value available
2003-01-01,.,No value available
2003-01-02,3.3618,
2003-01-03,3.3673,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,3.3783,
2003-01-07,3.3110,
2003-01-08,3.3526,
2003-01-09,3.3965,
2003-01-10,3.4317,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,3.4093,
2003-01-14,3.3258,
2003-01-15,3.3056,
2003-01-16,3.3461,
2003-01-17,3.3272,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,3.3004,
2003-01-21,3.2133,
2003-01-22,3.2276,
2003-01-23,3.2729,
2003-01-24,3.3808,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,3.4931,
2003-01-28,3.4857,
2003-01-29,3.4784,
2003-01-30,3.3941,
2003-01-31,3.3364,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,3.3141,
2003-02-04,3.3414,
2003-02-05,3.2968,
2003-02-06,3.3056,
2003-02-07,3.2940,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,3.2533,
2003-02-11,3.2324,
2003-02-12,3.2270,
2003-02-13,3.3084,
2003-02-14,3.3196,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,3.2861,
2003-02-18,3.2815,
2003-02-19,3.3180,
2003-02-20,3.3650,
2003-02-21,3.3353,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,3.3138,
2003-02-25,3.3024,
2003-02-26,3.3138,
2003-02-27,3.3214,
2003-02-28,3.3326,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,3.3821,
2003-03-04,3.3550,
2003-03-05,3.3647,
2003-03-06,3.3880,
2003-03-07,3.3620,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,3.3598,
2003-03-11,3.3445,
2003-03-12,3.3206,
2003-03-13,3.2818,
2003-03-14,3.2396,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,3.1863,
2003-03-18,3.1453,
2003-03-19,3.0814,
2003-03-20,3.1090,
2003-03-21,3.0707,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,3.0747,
2003-03-25,3.0260,
2003-03-26,2.9890,
2003-03-27,2.9690,
2003-03-28,3.1064,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,.,No value available
2003-04-01,3.1134,
2003-04-02,3.0134,
2003-04-03,3.0064,
2003-04-04,2.9996,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,2.9789,
2003-04-08,3.0146,
2003-04-09,3.0338,
2003-04-10,3.0085,
2003-04-11,3.0128,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,3.0468,
2003-04-15,3.0828,
2003-04-16,.,No value available
2003-04-17,.,No value available
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,3.0277,
2003-04-22,3.0165,
2003-04-23,2.9992,
2003-04-24,3.0470,
2003-04-25,3.0443,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,3.0324,
2003-04-29,3.0379,
2003-04-30,3.0358,
2003-05-01,.,No value available
2003-05-02,3.0193,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,3.0456,
2003-05-06,3.0683,
2003-05-07,3.0596,
2003-05-08,3.0576,
2003-05-09,3.0791,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,3.0857,
2003-05-13,3.0758,
2003-05-14,3.1050,
2003-05-15,3.1420,
2003-05-16,3.2811,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,3.2825,
2003-05-20,3.2490,
2003-05-21,3.2122,
2003-05-22,3.2473,
2003-05-23,3.3113,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,3.2872,
2003-05-27,3.2866,
2003-05-28,.,No value available
2003-05-29,3.3049,
2003-05-30,3.2406,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,3.2326,
2003-06-03,3.2034,
2003-06-04,3.1826,
2003-06-05,3.2372,
2003-06-06,.,No value available
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,3.1893,
2003-06-10,3.1723,
2003-06-11,3.1984,
2003-06-12,3.2173,
