"",BBK01.OEXI07K,BBK01.OEXI07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:08,
2002-01,1.868,
2002-04,1.814,
2002-07,1.827,
2002-10,1.900,
2003-01,1.967,
2003-04,1.946,
2003-07,1.910,
2003-10,1.917,
2004-01,1.899,
2004-04,1.860,
2004-07,1.792,
2004-10,1.266,
2005-01,1.282,
2005-04,1.276,
2005-07,1.247,
2005-10,1.279,
2006-01,1.304,
2006-04,1.326,
2006-07,1.299,
2006-10,1.356,
2007-01,1.509,
2007-04,1.573,
2007-07,1.619,
2007-10,1.752,
2008-01,1.862,
2008-04,1.894,
2008-07,1.938,
2008-10,2.376,
2009-01,2.331,
2009-04,2.346,
2009-07,2.382,
2009-10,2.291,
2010-01,2.163,
2010-04,2.136,
2010-07,2.144,
2010-10,2.375,
2011-01,2.484,
2011-04,2.383,
2011-07,2.328,
2011-10,2.305,
2012-01,2.246,
2012-04,2.271,
2012-07,2.314,
2012-10,2.307,
2013-01,2.242,
2013-04,2.205,
2013-07,2.180,
2013-10,2.188,
2014-01,2.155,
2014-04,2.136,
2014-07,2.222,
