"",BBSF2.M.1.T.00000.AKT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Equity funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:02,
2009-09,-320,
2009-10,-180,
2009-11,-1007,
2009-12,1118,
2010-01,-578,
2010-02,433,
2010-03,654,
2010-04,-313,
2010-05,5127,
2010-06,-5574,
2010-07,572,
2010-08,-211,
2010-09,294,
2010-10,1027,
2010-11,2030,
2010-12,1794,
2011-01,490,
2011-02,984,
2011-03,-289,
2011-04,638,
2011-05,1743,
2011-06,-386,
2011-07,3586,
2011-08,-1200,
2011-09,-1554,
2011-10,-508,
2011-11,856,
2011-12,524,
2012-01,659,
2012-02,-970,
2012-03,-351,
2012-04,-4187,
2012-05,3366,
2012-06,432,
2012-07,-263,
2012-08,466,
2012-09,-237,
2012-10,386,
2012-11,863,
2012-12,3051,
2013-01,879,
2013-02,564,
2013-03,1739,
2013-04,200,
2013-05,-237,
2013-06,-285,
2013-07,1618,
2013-08,149,
2013-09,18,
2013-10,1491,
2013-11,1311,
2013-12,224,
2014-01,-919,
2014-02,813,
2014-03,-422,
2014-04,4447,
2014-05,674,
2014-06,17,
2014-07,502,
2014-08,150,
2014-09,-2983,
2014-10,-9392,
2014-11,2446,
