"",BBK01.OEYJ04I,BBK01.OEYJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:49,
2002-01,0.316,
2002-04,0.313,
2002-07,0.336,
2002-10,0.424,
2003-01,0.430,
2003-04,0.371,
2003-07,0.525,
2003-10,0.569,
2004-01,0.563,
2004-04,0.423,
2004-07,0.333,
2004-10,0.257,
2005-01,0.227,
2005-04,0.265,
2005-07,0.858,
2005-10,0.639,
2006-01,0.533,
2006-04,0.581,
2006-07,0.809,
2006-10,0.775,
2007-01,0.932,
2007-04,0.888,
2007-07,1.250,
2007-10,2.029,
2008-01,3.488,
2008-04,5.925,
2008-07,7.089,
2008-10,5.219,
2009-01,8.364,
2009-04,8.758,
2009-07,7.259,
2009-10,7.834,
2010-01,9.693,
2010-04,4.670,
2010-07,10.421,
2010-10,10.247,
2011-01,10.646,
2011-04,11.764,
2011-07,11.885,
2011-10,8.771,
2012-01,10.499,
2012-04,7.327,
2012-07,10.556,
2012-10,8.801,
2013-01,12.550,
2013-04,10.073,
2013-07,2.092,
2013-10,2.199,
2014-01,2.046,
2014-04,2.006,
2014-07,2.438,
