"",BBK01.OEYI01V,BBK01.OEYI01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:39,
2002-01,6.490,
2002-04,7.010,
2002-07,6.978,
2002-10,7.567,
2003-01,7.073,
2003-04,7.472,
2003-07,6.918,
2003-10,7.282,
2004-01,7.759,
2004-04,8.347,
2004-07,8.520,
2004-10,8.835,
2005-01,8.400,
2005-04,9.026,
2005-07,9.465,
2005-10,9.041,
2006-01,9.245,
2006-04,9.015,
2006-07,9.326,
2006-10,9.148,
2007-01,9.334,
2007-04,9.417,
2007-07,9.113,
2007-10,9.283,
2008-01,9.155,
2008-04,3.320,
2008-07,3.856,
2008-10,3.654,
2009-01,3.625,
2009-04,2.366,
2009-07,2.571,
2009-10,4.284,
2010-01,4.875,
2010-04,4.644,
2010-07,4.077,
2010-10,4.209,
2011-01,3.920,
2011-04,3.463,
2011-07,4.347,
2011-10,4.841,
2012-01,5.257,
2012-04,5.948,
2012-07,5.053,
2012-10,4.620,
2013-01,4.671,
2013-04,4.381,
2013-07,4.846,
2013-10,4.320,
2014-01,4.566,
2014-04,4.769,
2014-07,4.551,
