"",BBK01.OEAH92N,BBK01.OEAH92N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:45,
2002-01,1.812,
2002-04,1.809,
2002-07,1.844,
2002-10,1.831,
2003-01,1.812,
2003-04,1.845,
2003-07,1.833,
2003-10,1.835,
2004-01,1.792,
2004-04,1.828,
2004-07,1.727,
2004-10,1.858,
2005-01,1.849,
2005-04,2.037,
2005-07,1.866,
2005-10,1.850,
2006-01,1.821,
2006-04,1.780,
2006-07,1.754,
2006-10,1.764,
2007-01,1.757,
2007-04,1.771,
2007-07,1.775,
2007-10,1.737,
2008-01,1.716,
2008-04,1.714,
2008-07,1.652,
2008-10,1.618,
2009-01,1.488,
2009-04,1.507,
2009-07,1.425,
2009-10,1.325,
2010-01,1.753,
2010-04,1.717,
2010-07,1.648,
2010-10,1.715,
2011-01,1.724,
2011-04,1.729,
2011-07,1.774,
2011-10,1.761,
2012-01,1.770,
2012-04,1.723,
2012-07,1.735,
2012-10,1.769,
2013-01,1.684,
2013-04,1.667,
2013-07,1.608,
2013-10,1.610,
2014-01,1.572,
2014-04,1.528,
2014-07,1.521,
